Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	ornaseq.owl	dc11:description		
ERROR	missing_ontology_license	ornaseq.owl	dc:license		
WARN	missing_definition	date of specimen amplification [ORNASEQ:0000001]	IAO:0000115		
WARN	missing_definition	date of specimen library preparation [ORNASEQ:0000002]	IAO:0000115		
WARN	missing_definition	enzymatic amplification protocol [ORNASEQ:0000003]	IAO:0000115		
WARN	missing_definition	experiment name [ORNASEQ:0000004]	IAO:0000115		
WARN	missing_definition	Illumina TruSeq Rapid SBS Kit v2 [ORNASEQ:0000005]	IAO:0000115		
WARN	missing_definition	Illumina TruSeq Stranded [ORNASEQ:0000006]	IAO:0000115		
WARN	missing_definition	library preparation protocol [ORNASEQ:0000007]	IAO:0000115		
WARN	missing_definition	number of flow cell lanes [ORNASEQ:0000008]	IAO:0000115		
WARN	missing_definition	number of flow cells [ORNASEQ:0000009]	IAO:0000115		
WARN	missing_definition	pairwise sequence alignment application [ORNASEQ:0000010]	IAO:0000115		
WARN	missing_definition	region of material anatomical entity [ORNASEQ:0000011]	IAO:0000115		
WARN	missing_definition	RNA harvest compound [ORNASEQ:0000012]	IAO:0000115		
WARN	missing_definition	specimen harvest source type [ORNASEQ:0000013]	IAO:0000115		
WARN	missing_definition	specimen harvest source unit [ORNASEQ:0000014]	IAO:0000115		
WARN	missing_definition	star [ORNASEQ:0000015]	IAO:0000115		
WARN	missing_definition	TIVA tag [ORNASEQ:0000016]	IAO:0000115		
WARN	missing_definition	verse [ORNASEQ:0000017]	IAO:0000115		
INFO	missing_superclass	BFO_0000040 [BFO:0000040]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_23367 [CHEBI:23367]	rdfs:subClassOf		
INFO	missing_superclass	GENEPIO_0000081 [GENEPIO:0000081]	rdfs:subClassOf		
INFO	missing_superclass	GENEPIO_0000085 [GENEPIO:0000085]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000027 [IAO:0000027]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000028 [IAO:0000028]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000594 [IAO:0000594]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0000091 [OBI:0000091]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0000094 [OBI:0000094]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0000272 [OBI:0000272]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0002467 [OBI:0002467]	rdfs:subClassOf		
INFO	missing_superclass	OBI_0002471 [OBI:0002471]	rdfs:subClassOf		
INFO	missing_superclass	UBERON_0000465 [UBERON:0000465]	rdfs:subClassOf		
