Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	Menomune-A/C/Y/W-135-associated injection-site pain AE [OVAE:0000553]	IAO_0000115 [IAO:0000115]	A Menomune-A/C/Y/W-135 vaccine adverse event that is associated with an administration of Menomune-A/C/Y/W-135 and displays an injection-site pain AE	
ERROR	duplicate_definition	Menomune-A/C/Y/W-135-associated injection-site pain AE [OVAE:0000557]	IAO_0000115 [IAO:0000115]	A Menomune-A/C/Y/W-135 vaccine adverse event that is associated with an administration of Menomune-A/C/Y/W-135 and displays an injection-site pain AE	
ERROR	duplicate_definition	Menomune-A/C/Y/W-135-associated diarrhea AE [OVAE:0000556]	IAO_0000115 [IAO:0000115]	A Menomune-A/C/Y/W-135 vaccine adverse event that is associated with an administration of Menomune-A/C/Y/W-135 and displays an diarrhea AE	
ERROR	duplicate_definition	Menomune-A/C/Y/W-135-associated diarrhea AE [OVAE:0000564]	IAO_0000115 [IAO:0000115]	A Menomune-A/C/Y/W-135 vaccine adverse event that is associated with an administration of Menomune-A/C/Y/W-135 and displays an diarrhea AE	
ERROR	duplicate_definition	Havrix-associated headache AE [OVAE:0000426]	IAO_0000115 [IAO:0000115]	A Havrix vaccine adverse event that is associated with an administration of Havrix and displays an headache AE	
ERROR	duplicate_definition	Havrix-associated headache AE [OVAE:0000427]	IAO_0000115 [IAO:0000115]	A Havrix vaccine adverse event that is associated with an administration of Havrix and displays an headache AE	
ERROR	duplicate_definition	Fluzone-associated myalgia AE [OVAE:0000258]	IAO_0000115 [IAO:0000115]	A Fluzone vaccine adverse event that is associated with an administration of Fluzone and displays an myalgia AE	
ERROR	duplicate_definition	Fluzone-associated myalgia AE [OVAE:0000261]	IAO_0000115 [IAO:0000115]	A Fluzone vaccine adverse event that is associated with an administration of Fluzone and displays an myalgia AE	
ERROR	duplicate_definition	Fluzone-associated myalgia AE [OVAE:0000264]	IAO_0000115 [IAO:0000115]	A Fluzone vaccine adverse event that is associated with an administration of Fluzone and displays an myalgia AE	
ERROR	duplicate_definition	Fluzone-associated injection-site pain AE [OVAE:0000259]	IAO_0000115 [IAO:0000115]	A Fluzone vaccine adverse event that is associated with an administration of Fluzone and displays an injection-site pain AE	
ERROR	duplicate_definition	Fluzone-associated injection-site pain AE [OVAE:0000262]	IAO_0000115 [IAO:0000115]	A Fluzone vaccine adverse event that is associated with an administration of Fluzone and displays an injection-site pain AE	
ERROR	duplicate_definition	Fluzone-associated headache AE [OVAE:0000260]	IAO_0000115 [IAO:0000115]	A Fluzone vaccine adverse event that is associated with an administration of Fluzone and displays an headache AE	
ERROR	duplicate_definition	Fluzone-associated headache AE [OVAE:0000263]	IAO_0000115 [IAO:0000115]	A Fluzone vaccine adverse event that is associated with an administration of Fluzone and displays an headache AE	
ERROR	duplicate_label	Menomune-A/C/Y/W-135-associated injection-site pain AE [OVAE:0000553]	label [rdfs:label]	Menomune-A/C/Y/W-135-associated injection-site pain AE	
ERROR	duplicate_label	Menomune-A/C/Y/W-135-associated injection-site pain AE [OVAE:0000557]	label [rdfs:label]	Menomune-A/C/Y/W-135-associated injection-site pain AE	
ERROR	duplicate_label	Menomune-A/C/Y/W-135-associated diarrhea AE [OVAE:0000556]	label [rdfs:label]	Menomune-A/C/Y/W-135-associated diarrhea AE	
ERROR	duplicate_label	Menomune-A/C/Y/W-135-associated diarrhea AE [OVAE:0000564]	label [rdfs:label]	Menomune-A/C/Y/W-135-associated diarrhea AE	
ERROR	duplicate_label	Havrix-associated headache AE [OVAE:0000426]	label [rdfs:label]	Havrix-associated headache AE	
ERROR	duplicate_label	Havrix-associated headache AE [OVAE:0000427]	label [rdfs:label]	Havrix-associated headache AE	
ERROR	duplicate_label	Fluzone-associated myalgia AE [OVAE:0000258]	label [rdfs:label]	Fluzone-associated myalgia AE	
ERROR	duplicate_label	Fluzone-associated myalgia AE [OVAE:0000261]	label [rdfs:label]	Fluzone-associated myalgia AE	
ERROR	duplicate_label	Fluzone-associated myalgia AE [OVAE:0000264]	label [rdfs:label]	Fluzone-associated myalgia AE	
ERROR	duplicate_label	Fluzone-associated injection-site pain AE [OVAE:0000259]	label [rdfs:label]	Fluzone-associated injection-site pain AE	
ERROR	duplicate_label	Fluzone-associated injection-site pain AE [OVAE:0000262]	label [rdfs:label]	Fluzone-associated injection-site pain AE	
ERROR	duplicate_label	Fluzone-associated headache AE [OVAE:0000260]	label [rdfs:label]	Fluzone-associated headache AE	
ERROR	duplicate_label	Fluzone-associated headache AE [OVAE:0000263]	label [rdfs:label]	Fluzone-associated headache AE	
ERROR	missing_ontology_license	ovae.owl	dc:license		
WARN	annotation_whitespace	occurs in population [OVAE:0000058]	IAO_0000112 [IAO:0000112]	an vaccine adverse event 'occurs in population' human vaccinee population is equivalent to say:    'occurs in' human vaccinee 'part of' human vaccine population. 	
WARN	missing_definition	adverse event associated with Diphtheria & Tetanus Toxoids Absorbed [OVAE:0000007]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Engerix-B vaccine adverse event [OVAE:0000008]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Gardasil vaccine adverse event [OVAE:0000019]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Havrix vaccine adverse event [OVAE:0000020]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Hiberix vaccine adverse event [OVAE:0000021]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Imovax Rabies vaccine adverse event [OVAE:0000022]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Infanrix vaccine adverse event [OVAE:0000023]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	IPOL vaccine adverse event [OVAE:0000025]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Ixiaro vaccine adverse event [OVAE:0000026]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	JE-Vax vaccine adverse event [OVAE:0000027]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Kinrix vaccine adverse event [OVAE:0000028]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Menactra vaccine adverse event [OVAE:0000029]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	MenHibrix vaccine adverse event [OVAE:0000030]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Menomune-A/C/Y/W-135 vaccine adverse event [OVAE:0000031]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Menveo vaccine adverse event [OVAE:0000032]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Meruvax II vaccine adverse event [OVAE:0000033]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Pediarix vaccine adverse event [OVAE:0000034]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	PedvaxHIB vaccine adverse event [OVAE:0000035]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Pentacel vaccine adverse event [OVAE:0000036]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Pneumovax 23 vaccine adverse event [OVAE:0000037]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Prevnar vaccine adverse event [OVAE:0000038]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Prevnar 13 vaccine adverse event [OVAE:0000039]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ProQuad vaccine adverse event [OVAE:0000040]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	RabAvert vaccine adverse event [OVAE:0000041]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Recombivax HB vaccine adverse event [OVAE:0000042]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Rotarix vaccine adverse event [OVAE:0000043]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	RotaTeq vaccine adverse event [OVAE:0000044]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Tenivac vaccine adverse event [OVAE:0000045]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	adverse event associated with Tetanus and Diptheria Toxoids Absorbed by MA Biological [OVAE:0000046]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Tetanus Toxoid (boost only) vaccine adverse event [OVAE:0000047]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Tetanus Toxoid Absorbed vaccine adverse event [OVAE:0000048]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Tripedia vaccine adverse event [OVAE:0000049]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Twinrix vaccine adverse event [OVAE:0000050]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Typhim Vi vaccine adverse event [OVAE:0000051]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Vaqta vaccine adverse event [OVAE:0000052]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Varivax vaccine adverse event [OVAE:0000053]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Vivotif vaccine adverse event [OVAE:0000054]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	YF-Vax vaccine adverse event [OVAE:0000055]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Zostavax vaccine adverse event [OVAE:0000056]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has age in year [OVAE:0000059]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Biothrax vaccine adverse event [OVAE:0000061]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Boostrix vaccine adverse event [OVAE:0000063]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Cervarix vaccine adverse event [OVAE:0000064]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Comvax vaccine adverse event [OVAE:0000065]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Daptacel vaccine adverse event [OVAE:0000066]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Decavac vaccine adverse event [OVAE:0000067]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Streptococcus pneumoniae vaccine adverse event [OVAE:0000078]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Neisseria meningitidis vaccine adverse event [OVAE:0000079]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ActHIB vaccine adverse event [OVAE:0000986]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Adacel vaccine adverse event [OVAE:0000988]	IAO_0000115 [IAO:0000115]		
INFO	lowercase_definition	bacterial vaccine adverse event [OVAE:0000001]	IAO_0000115 [IAO:0000115]	a vaccine adverse event that is associated with administration of a bacterial vaccine	
INFO	lowercase_definition	virus vaccine adverse event [OVAE:0000002]	IAO_0000115 [IAO:0000115]	a vaccine adverse event that is associated with administration of a virus vaccine	
INFO	lowercase_definition	parasite vaccine adverse event [OVAE:0000003]	IAO_0000115 [IAO:0000115]	a vaccine adverse event that is associated with administration of a parasite vaccine	
INFO	lowercase_definition	fugal vaccine adverse event [OVAE:0000004]	IAO_0000115 [IAO:0000115]	a vaccine adverse event that is associated with administration of a fungal vaccine	
INFO	lowercase_definition	cancer vaccine adverse event [OVAE:0000005]	IAO_0000115 [IAO:0000115]	a vaccine adverse event that is associated with administration of a cancer vaccine	
INFO	lowercase_definition	bacterial and viral combination vaccine adverse event [OVAE:0000006]	IAO_0000115 [IAO:0000115]	a vaccine adverse event that is associated with administration of a bacterial and viral combination vaccine	
INFO	lowercase_definition	has VAE occurrence [OVAE:0000057]	IAO_0000115 [IAO:0000115]	a data property that indicates a vaccinee having an occurrence of a specific VAE of a particular data value that is in the range of 0 and 1.	
INFO	lowercase_definition	occurs in population [OVAE:0000058]	IAO_0000115 [IAO:0000115]	an 'occurs in' relation that is a shortcut relation combining the 'occurs in' relation in an specific term which is part of a population.	
INFO	lowercase_definition	influenza vaccine adverse event [OVAE:0000070]	IAO_0000115 [IAO:0000115]	a virus vaccine adverse event that is associated with administration of an influenza virus vaccine	
INFO	lowercase_definition	Haemophilus vaccine adverse event [OVAE:0000072]	IAO_0000115 [IAO:0000115]	a bacterial adverse event that is associated with administration of a Haemophilus vaccine	
INFO	lowercase_definition	adenovirus vaccine adverse event [OVAE:0000073]	IAO_0000115 [IAO:0000115]	a virus vaccine adverse event that is associated with administration of an adenovirus vaccine	
INFO	lowercase_definition	adverse event associated with Adenovirus Type 4 and Type 7 Vaccine, Live, Oral [OVAE:0000074]	IAO_0000115 [IAO:0000115]	an adenovirus vaccine adverse event that is associated with administration of an adenovirus vaccine Adenovirus Type 4 and Type 7 Vaccine, Live, Oral	
