Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	normal variability [PATO:0045074]	IAO_0000115 [IAO:0000115]	A variability which is relatively normal or average	
ERROR	duplicate_definition	normal variability of color [PATO:0045075]	IAO_0000115 [IAO:0000115]	A variability which is relatively normal or average	
ERROR	duplicate_definition	tetraploid [PATO:0001382]	IAO_0000115 [IAO:0000115]	A polyploidy quality inhering in a bearer by virtue of the bearer's containing four homologous sets of chromosomes.	
ERROR	duplicate_definition	hexaploid [PATO:0001384]	IAO_0000115 [IAO:0000115]	A polyploidy quality inhering in a bearer by virtue of the bearer's containing four homologous sets of chromosomes.	
ERROR	missing_ontology_description	pato.owl	dc11:description		
ERROR	duplicate_label	obsolete urine composition [PATO:0001174]	label [rdfs:label]	obsolete urine composition	
ERROR	duplicate_label	obsolete urine composition [PATO:0001175]	label [rdfs:label]	obsolete urine composition	
ERROR	duplicate_label	obsolete startle response [PATO:0000195]	label [rdfs:label]	obsolete startle response	
ERROR	duplicate_label	obsolete startle response [PATO:0000754]	label [rdfs:label]	obsolete startle response	
ERROR	duplicate_label	obsolete relative response [PATO:0001180]	label [rdfs:label]	obsolete relative response	
ERROR	duplicate_label	obsolete relative response [PATO:0001182]	label [rdfs:label]	obsolete relative response	
ERROR	duplicate_label	obsolete osmotic response sensitivity [PATO:0000104]	label [rdfs:label]	obsolete osmotic response sensitivity	
ERROR	duplicate_label	obsolete osmotic response sensitivity [PATO:0000533]	label [rdfs:label]	obsolete osmotic response sensitivity	
ERROR	missing_ontology_license	pato.owl	dc:license		
ERROR	missing_ontology_title	pato.owl	dc11:title		
WARN	missing_definition	qualitative [PATO:0000068]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	growth rate [PATO:0001492]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hypertrophic growth [PATO:0001493]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hypotrophic growth [PATO:0001494]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	female semi-fertile [PATO:0001760]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	male semi-fertile [PATO:0001761]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	male semi-sterile [PATO:0001762]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	female semi-sterile [PATO:0001763]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	semi-fertile [PATO:0001767]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	magnitude [PATO:0002016]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	increased magnitude [PATO:0002017]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	decreased magnitude [PATO:0002018]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	physical quality of a process [PATO:0002062]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bracket [PATO:0002142]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	sloped downward [PATO:0002143]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	edge shape [PATO:0002267]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	aplastic/hypoplastic [PATO:0002290]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hypoelliptic [PATO:0002321]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hyperelliptic [PATO:0002322]	IAO_0000115 [IAO:0000115]		
INFO	lowercase_definition	random pattern [PATO:0002401]	IAO_0000115 [IAO:0000115]	characterised by an unidentifiable pattern.	
INFO	lowercase_definition	stability [PATO:0015026]	IAO_0000115 [IAO:0000115]	quality, state, or degree of being stable.	
INFO	missing_superclass	BFO_0000019 [BFO:0000019]	rdfs:subClassOf		
INFO	missing_superclass	BFO_0000020 [BFO:0000020]	rdfs:subClassOf		
