Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	pdro.owl	dc11:description		
ERROR	multiple_definitions	time elapsed since dispensing condition [PDRO:0000000]	IAO_0000115 [IAO:0000115]	a condition describing the time elapsed since a drug dispensing process.@en	
ERROR	multiple_definitions	time elapsed since dispensing condition [PDRO:0000000]	IAO_0000115 [IAO:0000115]	une condition de temps écoulé depuis une distribution de médicaments.@fr	
ERROR	multiple_definitions	health care prescription [PDRO:0000001]	IAO_0000115 [IAO:0000115]	A document authored by a health care provider that specifies how to realize some health care process for a particular patient.@en	
ERROR	multiple_definitions	health care prescription [PDRO:0000001]	IAO_0000115 [IAO:0000115]	Un document créé par un fournisseur de soin indiquant comment réaliser une partie d'un processus de santé pour un patient particulier.@fr	
ERROR	multiple_definitions	identification de prescripteur [PDRO:0000002]	IAO_0000115 [IAO:0000115]	An author identification where the author is a particular health care provider and the document authored is a prescription.@en	
ERROR	multiple_definitions	identification de prescripteur [PDRO:0000002]	IAO_0000115 [IAO:0000115]	Une identification d'auteur où l'auteur est un fournisseur de soins particulier et le document en question est une prescription.@fr	
ERROR	multiple_definitions	patient identification [PDRO:0000003]	IAO_0000115 [IAO:0000115]	A written name denoting a particular patient.@en	
ERROR	multiple_definitions	patient identification [PDRO:0000003]	IAO_0000115 [IAO:0000115]	Un nom écrit faisant référence à un patient particulier.@fr	
ERROR	multiple_definitions	masse d\'aggrégat d\'ingrédient actif [PDRO:0000004]	IAO_0000115 [IAO:0000115]	La masse d'un aggrégat d'ingrédient actif.@fr	
ERROR	multiple_definitions	masse d\'aggrégat d\'ingrédient actif [PDRO:0000004]	IAO_0000115 [IAO:0000115]	The mass of an active ingredient aggregate.@en	
ERROR	multiple_definitions	document creation time identification [PDRO:0000005]	IAO_0000115 [IAO:0000115]	A textual entity that denotes the time of document creation.@en	
ERROR	multiple_definitions	document creation time identification [PDRO:0000005]	IAO_0000115 [IAO:0000115]	Une entité textuelle indiquant l'instant de création d'un document.@fr	
ERROR	multiple_definitions	health care prescription time identification [PDRO:0000006]	IAO_0000115 [IAO:0000115]	A document creation time identification where the document is a prescription.@en	
ERROR	multiple_definitions	health care prescription time identification [PDRO:0000006]	IAO_0000115 [IAO:0000115]	Une identification de l'instant de création d'un document qui est une prescription médicale.@fr	
ERROR	multiple_definitions	spécification de distribution et d’administration de médicament [PDRO:0000007]	IAO_0000115 [IAO:0000115]	A directive information entity that is composed by a drug administration specification and a drug dispensing specification.@en	
ERROR	multiple_definitions	spécification de distribution et d’administration de médicament [PDRO:0000007]	IAO_0000115 [IAO:0000115]	Une entité informationnelle directive qui est composée par une spécification d’administration de médicament et une spécification de distribution de médicament.@fr	
ERROR	multiple_definitions	spécification de site d’administration de médicament prescrit [PDRO:0000008]	IAO_0000115 [IAO:0000115]	A site of drug administration specification that is part of a drug administration specification in a drug prescription.@en	
ERROR	multiple_definitions	spécification de site d’administration de médicament prescrit [PDRO:0000008]	IAO_0000115 [IAO:0000115]	Une spécification de site d’administration de médicament dans une spécification d'administration de médicament faisant partie d'une prescription de médicament.@fr	
ERROR	multiple_definitions	drug product characteristic specification [PDRO:0000009]	IAO_0000115 [IAO:0000115]	An information content entity that specifies one or several characteristics of a drug product.@en	
ERROR	multiple_definitions	drug product characteristic specification [PDRO:0000009]	IAO_0000115 [IAO:0000115]	Une entité de contenu informationnel qui spécifie une caractéristique d’un médicament prescrit.@fr	
ERROR	multiple_definitions	élément d\'information sur un médicament [PDRO:0000011]	IAO_0000115 [IAO:0000115]	A data item that is about a drug product.@en	
ERROR	multiple_definitions	élément d\'information sur un médicament [PDRO:0000011]	IAO_0000115 [IAO:0000115]	Un élément de données qui fournit une information sur un médicament.@fr	
