Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	Meloidogyne arenaria exposure [PECO:0007320]	IAO_0000115 [IAO:0000115]	The treatment involving exposure of plant to the pest Meloidogyne oryzae. It is a causal agent for rice root knot nematode disease.	
ERROR	duplicate_definition	Meloidogyne oryzae exposure [PECO:0007370]	IAO_0000115 [IAO:0000115]	The treatment involving exposure of plant to the pest Meloidogyne oryzae. It is a causal agent for rice root knot nematode disease.	
ERROR	duplicate_definition	Meloidogyne javanica exposure [PECO:0007371]	IAO_0000115 [IAO:0000115]	The treatment involving exposure of plant to the pest Meloidogyne oryzae. It is a causal agent for rice root knot nematode disease.	
ERROR	duplicate_definition	Meloidogyne incognita exposure [PECO:0007372]	IAO_0000115 [IAO:0000115]	The treatment involving exposure of plant to the pest Meloidogyne oryzae. It is a causal agent for rice root knot nematode disease.	
ERROR	duplicate_definition	Meloidogyne graminicola exposure [PECO:0007375]	IAO_0000115 [IAO:0000115]	The treatment involving exposure of plant to the pest Meloidogyne oryzae. It is a causal agent for rice root knot nematode disease.	
ERROR	duplicate_definition	Hirschmaniella imamuri exposure [PECO:0007324]	IAO_0000115 [IAO:0000115]	The treatment involving exposure of plant to the pest Hirschmaniella imamuri. It is a causal agent for rice root nematode disease.	
ERROR	duplicate_definition	Hirschmaniella caudacrena exposure [PECO:0007325]	IAO_0000115 [IAO:0000115]	The treatment involving exposure of plant to the pest Hirschmaniella imamuri. It is a causal agent for rice root nematode disease.	
ERROR	missing_ontology_description	peco.owl	dc11:description		
ERROR	missing_ontology_license	peco.owl	dc:license		
ERROR	missing_ontology_title	peco.owl	dc11:title		
WARN	missing_definition	loam content exposure [PECO:0007004]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	high light intensity exposure [PECO:0007075]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	moderate light intensity exposure [PECO:0007076]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	river bank region exposure [PECO:0007081]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	sea coast region exposure [PECO:0007082]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bone meal exposure [PECO:0007089]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	seaweed extract exposure [PECO:0007091]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	wood ash exposure [PECO:0007092]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	fish meal exposure [PECO:0007093]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	clay soil exposure [PECO:0007156]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	loam soil exposure [PECO:0007157]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	sandy soil exposure [PECO:0007158]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	sandy loam soil exposure [PECO:0007159]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	day light intensity exposure [PECO:0007193]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	low light intensity exposure [PECO:0007271]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mechanical damage exposure [PECO:0007373]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	river delta region exposure [PECO:0007395]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	drought environment exposure [PECO:0007404]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Hoagland solution exposure [PECO:0007405]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nitrate exposure [PECO:0007406]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	3-H exposure [PECO:0007610]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	3-H-deoxycytidine exposure [PECO:0007611]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	3-H-thymidine exposure [PECO:0007612]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	32-P exposure [PECO:0007613]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	agr ray exposure [PECO:0007614]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Bevatron irradiation exposure [PECO:0007615]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	deuteron irradiation exposure [PECO:0007616]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ggr ray exposure [PECO:0007617]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	137-Cs or ggr ray exposure [PECO:0007618]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	226-Ra or agr ray exposure [PECO:0007619]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	60-Co or ggr ray exposure [PECO:0007620]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	magnetic field exposure [PECO:0007621]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	neutrons exposure [PECO:0007622]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	252-Cf fission neutrons exposure [PECO:0007623]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	radio wave exposure [PECO:0007624]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	stratosphere exposure [PECO:0007625]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	supersonic exposure [PECO:0007626]	IAO_0000115 [IAO:0000115]		
WARN	missing_obsolete_label	plant growth environment [PECO:0001002]	label [rdfs:label]	plant growth environment	
WARN	missing_obsolete_label	monocot mixed crop neighbor [PECO:0007006]	label [rdfs:label]	monocot mixed crop neighbor	
WARN	missing_obsolete_label	monocot weed plant neighbor [PECO:0007007]	label [rdfs:label]	monocot weed plant neighbor	
WARN	missing_obsolete_label	dicot weed plant neighbor [PECO:0007039]	label [rdfs:label]	dicot weed plant neighbor	
WARN	missing_obsolete_label	dicot mixed crop neighbor [PECO:0007040]	label [rdfs:label]	dicot mixed crop neighbor	
WARN	missing_obsolete_label	soil flora [PECO:0007056]	label [rdfs:label]	soil flora	
WARN	missing_obsolete_label	soil fauna [PECO:0007057]	label [rdfs:label]	soil fauna	
WARN	missing_obsolete_label	Proteobacterial plant exposure [PECO:0007108]	label [rdfs:label]	Proteobacterial plant exposure	
WARN	missing_obsolete_label	pest/pathogen/animal/plant environment [PECO:0007124]	label [rdfs:label]	pest/pathogen/animal/plant environment	
WARN	missing_obsolete_label	genetic environment [PECO:0007125]	label [rdfs:label]	genetic environment	
WARN	missing_obsolete_label	facultative anaerobic environment [PECO:0007150]	label [rdfs:label]	facultative anaerobic environment	
WARN	missing_obsolete_label	normal temperature regimen [PECO:0007237]	label [rdfs:label]	normal temperature regimen	
WARN	missing_obsolete_label	optimal temperature regimen [PECO:0007238]	label [rdfs:label]	optimal temperature regimen	
WARN	missing_obsolete_label	genetic background [PECO:0007351]	label [rdfs:label]	genetic background	
WARN	missing_obsolete_label	germplasm [PECO:0007353]	label [rdfs:label]	germplasm	
WARN	missing_obsolete_label	genotype [PECO:0007355]	label [rdfs:label]	genotype	
WARN	missing_obsolete_label	cytoplasmic genetic background [PECO:0007380]	label [rdfs:label]	cytoplasmic genetic background	
WARN	missing_obsolete_label	nuclear genetic background [PECO:0007381]	label [rdfs:label]	nuclear genetic background	
WARN	missing_obsolete_label	sub-sahara region [PECO:0007393]	label [rdfs:label]	sub-sahara region	
INFO	missing_superclass	CHEBI_116509 [CHEBI:116509]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_15929 [CHEBI:15929]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_16189 [CHEBI:16189]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_16199 [CHEBI:16199]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_16240 [CHEBI:16240]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_16411 [CHEBI:16411]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_16526 [CHEBI:16526]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_16646 [CHEBI:16646]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_16842 [CHEBI:16842]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_16914 [CHEBI:16914]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_16991 [CHEBI:16991]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_17234 [CHEBI:17234]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_17632 [CHEBI:17632]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_17967 [CHEBI:17967]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_17992 [CHEBI:17992]	rdfs:subClassOf		
