Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	normal hyphal colony morphology [PHIPO:0000278]	IAO_0000115 [IAO:0000115]	A single species population phenotype where the morphology of a colony growing in filamentous form is normal (indistinguishable from wild type).	
ERROR	duplicate_definition	normal colony morphology [PHIPO:0001057]	IAO_0000115 [IAO:0000115]	A single species population phenotype where the morphology of a colony growing in filamentous form is normal (indistinguishable from wild type).	
ERROR	duplicate_definition	increased size of filamentous colony [PHIPO:0000179]	IAO_0000115 [IAO:0000115]	A single species hyphal colony morphology phenotype where the size of the colony is decreased.	
ERROR	duplicate_definition	decreased size of filamentous colony [PHIPO:0000181]	IAO_0000115 [IAO:0000115]	A single species hyphal colony morphology phenotype where the size of the colony is decreased.	
ERROR	duplicate_definition	sensitive to hydrogen peroxide [PHIPO:0000849]	IAO_0000115 [IAO:0000115]	A phenotype in which a population of a single-species shows increased sensitivity to hydrogen peroxide, manifested as an affect on the extent of population growth.	
ERROR	duplicate_definition	sensitive to hydrogen peroxide [PHIPO:0000943]	IAO_0000115 [IAO:0000115]	A phenotype in which a population of a single-species shows increased sensitivity to hydrogen peroxide, manifested as an affect on the extent of population growth.	
ERROR	duplicate_definition	pathogen host interaction protein localization phenotype [PHIPO:0000238]	IAO_0000115 [IAO:0000115]	A pathogen host interaction phenotype that affects the localization of a protein in a cell.	
ERROR	duplicate_definition	abnormal pathogen host interaction protein localization [PHIPO:0000240]	IAO_0000115 [IAO:0000115]	A pathogen host interaction phenotype that affects the localization of a protein in a cell.	
ERROR	multiple_equivalent_classes	normal pathogen peptidase activity [PHIPO:0000450]	owl:equivalentClass	blank node <592da66ccb6a48b473f73f7e7ba803aa>	
ERROR	multiple_equivalent_classes	normal pathogen peptidase activity [PHIPO:0000450]	owl:equivalentClass	blank node <c123effadf6ff53bc994d9f8ab187ac9>	
ERROR	missing_ontology_description	phipo.owl	dc11:description		
ERROR	duplicate_label	sensitive to hydrogen peroxide [PHIPO:0000849]	label [rdfs:label]	sensitive to hydrogen peroxide@en	
ERROR	duplicate_label	sensitive to hydrogen peroxide [PHIPO:0000943]	label [rdfs:label]	sensitive to hydrogen peroxide@en	
ERROR	duplicate_label	increased pathogen growth after penetraton of the barrier [PHIPO:0000117]	label [rdfs:label]	increased pathogen growth after penetraton of the barrier@en	
ERROR	duplicate_label	increased pathogen growth after penetraton of the barrier [PHIPO:0000118]	label [rdfs:label]	increased pathogen growth after penetraton of the barrier@en	
ERROR	missing_ontology_license	phipo.owl	dc:license		
ERROR	missing_ontology_title	phipo.owl	dc11:title		
WARN	duplicate_exact_synonym	altered cellular cAMP level [PHIPO:0001022]	hasExactSynonym [oboInOwl:hasExactSynonym]	altered cellular cyclic AMP level	
WARN	duplicate_exact_synonym	decreased cellular cAMP level [PHIPO:0001023]	hasExactSynonym [oboInOwl:hasExactSynonym]	altered cellular cyclic AMP level	
WARN	missing_definition	mutualism phenotype [PHIPO:0000038]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	normal motility phenotype [PHIPO:0000041]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal motility phenotype [PHIPO:0000042]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	increased motility [PHIPO:0000100]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	decreased motility [PHIPO:0000101]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	loss of motility [PHIPO:0000102]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	gain of motility [PHIPO:0000103]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	motility phenotype [PHIPO:0000157]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chlorosis phenotype [PHIPO:0000166]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chlorosis absent [PHIPO:0000169]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chlorosis present [PHIPO:0000170]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pathogen adhesion to host phenotype [PHIPO:0000184]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pathogen host interaction transporter phenotype [PHIPO:0000198]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host chlorosis phenotype in presence of pathogen [PHIPO:0000200]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host chlorosis absent with pathogen [PHIPO:0000213]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host chlorosis present with pathogen [PHIPO:0000215]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pathogen host interaction disease symptom phenotype [PHIPO:0000216]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	systemic phenotype [PHIPO:0000279]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal organism morphology phenotype [PHIPO:0000293]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	normal organism morphology phenotype [PHIPO:0000294]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	qualifier [PHIPO:0000304]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	normal pathogen host interaction molecular function [PHIPO:0000344]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal pathogen host interaction molecular function [PHIPO:0000345]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pathogen host interaction molecular function phenotype [PHIPO:0000347]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pathogen host interaction catalytic activity phenotype [PHIPO:0000348]	IAO_0000115 [IAO:0000115]		
