Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	dorsal region of the whole animal [PLANA:0000141]	IAO_0000115 [IAO:0000115]	Three dimensional compartment along the dorsoventral axis that is above the anteroposterior axis,  containing the eyes.	
ERROR	duplicate_definition	dorsal compartment [PLANA:0007504]	IAO_0000115 [IAO:0000115]	Three dimensional compartment along the dorsoventral axis that is above the anteroposterior axis,  containing the eyes.	
ERROR	duplicate_definition	posterior compartment of the whole animal [PLANA:0000142]	IAO_0000115 [IAO:0000115]	Three dimensional compartment along the anteroposterior axis that is closer to the tail rather than the head, from the anterior boundary of the pharyngeal pouch to the tip of the tail.	
ERROR	duplicate_definition	posterior compartment [PLANA:0007507]	IAO_0000115 [IAO:0000115]	Three dimensional compartment along the anteroposterior axis that is closer to the tail rather than the head, from the anterior boundary of the pharyngeal pouch to the tip of the tail.	
ERROR	duplicate_definition	ventral compartment of the whole animal [PLANA:0000143]	IAO_0000115 [IAO:0000115]	Compartment along the dorsoventral axis that is below the anteroposterior axis.	
ERROR	duplicate_definition	ventral compartment [PLANA:0007505]	IAO_0000115 [IAO:0000115]	Compartment along the dorsoventral axis that is below the anteroposterior axis.	
ERROR	duplicate_definition	anterior region of the whole animal [PLANA:0000140]	IAO_0000115 [IAO:0000115]	Compartment along the anteroposterior axis closer to the head rather than the tail, from the head margin to the esophagus.	
ERROR	duplicate_definition	anterior compartment [PLANA:0007506]	IAO_0000115 [IAO:0000115]	Compartment along the anteroposterior axis closer to the head rather than the tail, from the head margin to the esophagus.	
ERROR	missing_ontology_description	plana	dc11:description		
ERROR	missing_ontology_license	plana	dc:license		
ERROR	missing_ontology_title	plana	dc11:title		
ERROR	multiple_labels	dorsoventral margin [PLANA:0000043]	label [rdfs:label]	dorsal ventral margin	
ERROR	multiple_labels	dorsoventral margin [PLANA:0000043]	label [rdfs:label]	dorsoventral margin	
ERROR	multiple_labels	ventral epidermis [PLANA:0000096]	label [rdfs:label]	ventral epidermis	
ERROR	multiple_labels	ventral epidermis [PLANA:0000096]	label [rdfs:label]	ventral region of the epidermal compartment	
WARN	missing_definition	organogenesis stage [PLANA:0000077]	IAO_0000115 [IAO:0000115]		
WARN	invalid_xref	obsolete anatomical space [PLANA:0000403]	hasDbXref [oboInOwl:hasDbXref]	C94478	
WARN	invalid_xref	optic chiasma [PLANA:0000459]	hasDbXref [oboInOwl:hasDbXref]	C90609	
