Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	planp.owl	dc11:description		
ERROR	missing_ontology_license	planp.owl	dc:license		
ERROR	missing_ontology_title	planp.owl	dc11:title		
ERROR	label_whitespace	abnormal morphology of ventral surface  [PLANP:0000466]	label [rdfs:label]	abnormal morphology of ventral surface 	
ERROR	label_whitespace	abnormal morphology of primitive ectoderm surface  [PLANP:0000467]	label [rdfs:label]	abnormal morphology of primitive ectoderm surface 	
ERROR	label_whitespace	abnormal morphology of distal surface  [PLANP:0000468]	label [rdfs:label]	abnormal morphology of distal surface 	
ERROR	label_whitespace	abnormal morphology of lumen gut surface  [PLANP:0000469]	label [rdfs:label]	abnormal morphology of lumen gut surface 	
ERROR	label_whitespace	abnormal morphology of basal epidermis surface  [PLANP:0000470]	label [rdfs:label]	abnormal morphology of basal epidermis surface 	
ERROR	label_whitespace	abnormal morphology of medial surface  [PLANP:0000471]	label [rdfs:label]	abnormal morphology of medial surface 	
ERROR	label_whitespace	abnormal morphology of anatomical surface  [PLANP:0000472]	label [rdfs:label]	abnormal morphology of anatomical surface 	
ERROR	label_whitespace	abnormal morphology of proximal surface  [PLANP:0000473]	label [rdfs:label]	abnormal morphology of proximal surface 	
ERROR	label_whitespace	abnormal morphology of anterior surface  [PLANP:0000474]	label [rdfs:label]	abnormal morphology of anterior surface 	
ERROR	label_whitespace	abnormal morphology of apical epidermis surface  [PLANP:0000475]	label [rdfs:label]	abnormal morphology of apical epidermis surface 	
ERROR	label_whitespace	abnormal morphology of basal surface  [PLANP:0000476]	label [rdfs:label]	abnormal morphology of basal surface 	
ERROR	label_whitespace	abnormal morphology of apical surface  [PLANP:0000478]	label [rdfs:label]	abnormal morphology of apical surface 	
ERROR	label_whitespace	abnormal morphology of lateral surface  [PLANP:0000479]	label [rdfs:label]	abnormal morphology of lateral surface 	
ERROR	label_whitespace	abnormal morphology of pharyngeal pouch surface  [PLANP:0000480]	label [rdfs:label]	abnormal morphology of pharyngeal pouch surface 	
ERROR	label_whitespace	abnormal morphology of embryonic gut cell surface  [PLANP:0000481]	label [rdfs:label]	abnormal morphology of embryonic gut cell surface 	
ERROR	label_whitespace	abnormal morphology of primtive gut cell surface  [PLANP:0000482]	label [rdfs:label]	abnormal morphology of primtive gut cell surface 	
ERROR	label_whitespace	abnormal morphology of dorsal surface  [PLANP:0000483]	label [rdfs:label]	abnormal morphology of dorsal surface 	
ERROR	label_whitespace	abnormal morphology of pharynx lumen epithelial surface  [PLANP:0000484]	label [rdfs:label]	abnormal morphology of pharynx lumen epithelial surface 	
ERROR	label_whitespace	abnormal morphology of contralateral surface  [PLANP:0000485]	label [rdfs:label]	abnormal morphology of contralateral surface 	
ERROR	label_whitespace	abnormal morphology of temporary embryonic pharynx lumen epithelial surface  [PLANP:0000486]	label [rdfs:label]	abnormal morphology of temporary embryonic pharynx lumen epithelial surface 	
ERROR	label_whitespace	abnormal morphology of ipsilateral surface  [PLANP:0000487]	label [rdfs:label]	abnormal morphology of ipsilateral surface 	
ERROR	label_whitespace	abnormal morphology of posterior surface  [PLANP:0000488]	label [rdfs:label]	abnormal morphology of posterior surface 	
ERROR	label_whitespace	abnormal morphology of pharynx outer epithelial surface  [PLANP:0000489]	label [rdfs:label]	abnormal morphology of pharynx outer epithelial surface 	
ERROR	label_whitespace	abnormal shape of ventral surface  [PLANP:0000490]	label [rdfs:label]	abnormal shape of ventral surface 	
