Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	blunt megasclere [PORO:0000172]	IAO_0000115 [IAO:0000115]	Adjective referring to the extremities of megascleres. See OXEA.	
ERROR	duplicate_definition	conical megasclere [PORO:0000230]	IAO_0000115 [IAO:0000115]	Adjective referring to the extremities of megascleres. See OXEA.	
ERROR	duplicate_definition	equal megasclere [PORO:0000293]	IAO_0000115 [IAO:0000115]	Adjective referring to the extremities of megascleres. See OXEA.	
ERROR	duplicate_definition	symmetrical megasclere [PORO:0000577]	IAO_0000115 [IAO:0000115]	Adjective referring to the extremities of megascleres. See OXEA.	
ERROR	duplicate_definition	asymmetric megasclere [PORO:0000154]	IAO_0000115 [IAO:0000115]	Adjective referring to the extremities of a megasclere. See OXEA.	
ERROR	duplicate_definition	stepped megasclere [PORO:0000556]	IAO_0000115 [IAO:0000115]	Adjective referring to the extremities of a megasclere. See OXEA.	
ERROR	multiple_definitions	spicule [PORO:0000017]	IAO_0000115 [IAO:0000115]		
ERROR	multiple_definitions	spicule [PORO:0000017]	IAO_0000115 [IAO:0000115]	siliceous or calcareous entities that form the mineral skeleton of a sponge	
ERROR	missing_ontology_license	poro.owl	dc:license		
WARN	missing_definition	sponge cell [PORO:0000000]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	sponge larval cell [PORO:0000006]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cruciform cell [PORO:0000010]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	secretory cell [PORO:0000012]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	spongocoel lining [PORO:0000022]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	siliceous spicule [PORO:0000031]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	spongin spicule [PORO:0000032]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	calcium carbonate exoskeleton [PORO:0000033]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pore [PORO:0000035]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	dermal pore [PORO:0000038]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	canal [PORO:0000039]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	flagellated canal [PORO:0000041]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	spicule ray [PORO:0000045]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	maternal cell [PORO:0000047]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	crystal [PORO:0000094]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	arrangement of spicules [PORO:0000095]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	arrangement of megascleres [PORO:0000096]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	body layer [PORO:0000700]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	spermatid [PORO:0000701]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	spongiocyte [PORO:0000702]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bromotyrosin [PORO:0000703]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	granular cell [PORO:0000704]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	membrane-bound inclusion [PORO:0000705]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	large dense membrane-bound inclusion [PORO:0000706]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	large granular membrane-bound inclusion [PORO:0000707]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	small granular membrane-bound inclusion [PORO:0000708]	IAO_0000115 [IAO:0000115]		
