Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/ppo.owl	dc11:description		
ERROR	missing_ontology_license	https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/ppo.owl	dc:license		
ERROR	missing_ontology_title	https://raw.githubusercontent.com/PlantPhenoOntology/ppo/master/ppo.owl	dc11:title		
WARN	missing_definition	depends on structure [PPO:0000009]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has visible part [PPO:0000010]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	visible part of [PPO:0000011]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	herbaceous plant [PPO:0001000]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	woody plant [PPO:0001001]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	perennial plant [PPO:0001002]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	new above-ground shoot-borne shoot system [PPO:0001004]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	new shoot system emerging from ground [PPO:0001005]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	new shoot system emerging from ground in first growth cycle [PPO:0001006]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	seedling [PPO:0001007]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	new shoot system emerging from ground in later growth cycle [PPO:0001008]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	floral structure [PPO:0001025]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	non-senesced floral structure [PPO:0001026]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	unopened floral structure [PPO:0001027]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	open floral structure [PPO:0001028]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pollen-releasing floral structure [PPO:0001029]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	compound fruit [PPO:0001041]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	simple fruit or compound fruit [PPO:0001042]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	plant regreening process [PPO:0007003]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	vascular leaf expanded immature stage [PPO:0007007]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	vascular leaf mature stage [PPO:0007008]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	unopened flower stage [PPO:0007009]	IAO_0000115 [IAO:0000115]		
