Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	antithrombotic drug pathway [PW:0001651]	IAO_0000115 [IAO:0000115]	The pharmacokinetics and pharmacodynamics pathway of drugs that reduce or prevent the formation of blood clots.  They are further classified depending on the blood clotting processes they affect. Genetic variations can result in changes in drug availability and can cause differences in the response of the organism to the drug.	
ERROR	duplicate_definition	other antithrombotic drug pathway [PW:0002434]	IAO_0000115 [IAO:0000115]	The pharmacokinetics and pharmacodynamics pathway of drugs that reduce or prevent the formation of blood clots.  They are further classified depending on the blood clotting processes they affect. Genetic variations can result in changes in drug availability and can cause differences in the response of the organism to the drug.	
ERROR	duplicate_definition	spermine metabolic pathway [PW:0000216]	IAO_0000115 [IAO:0000115]	Polyamine metabolism plays important roles in a number of cellular processes. Spermidine and spermine are formed in two consecutive reactions carried out by distinct enzymes that employ the decarboxylated form of AdoMet as an aminopropyl donor.	
ERROR	duplicate_definition	spermidine metabolic pathway [PW:0000396]	IAO_0000115 [IAO:0000115]	Polyamine metabolism plays important roles in a number of cellular processes. Spermidine and spermine are formed in two consecutive reactions carried out by distinct enzymes that employ the decarboxylated form of AdoMet as an aminopropyl donor.	
ERROR	duplicate_definition	phosphatidylinositol 3-kinase signaling pathway [PW:0000595]	IAO_0000115 [IAO:0000115]	Phosphatidylinositol kinases represent a family of lipid kinases that phosphorylate the 3' position of the inositol ring in target substrates. They are grouped into three classes: class I further subdivided into subclass A and B, class II and class III. By far the best known and characterized is class I, particularly IA that signals downstream of receptor tyrosine kinases and engages the Akt family of kinases.	
ERROR	duplicate_definition	phosphatidylinositol 3-kinase class I signaling pathway [PW:0000963]	IAO_0000115 [IAO:0000115]	Phosphatidylinositol kinases represent a family of lipid kinases that phosphorylate the 3' position of the inositol ring in target substrates. They are grouped into three classes: class I further subdivided into subclass A and B, class II and class III. By far the best known and characterized is class I, particularly IA that signals downstream of receptor tyrosine kinases and engages the Akt family of kinases.	
ERROR	duplicate_definition	phosphatidylinositol 3-kinase class II signaling pathway [PW:0000965]	IAO_0000115 [IAO:0000115]	Phosphatidylinositol kinases represent a family of lipid kinases that phosphorylate the 3' position of the inositol ring in target substrates. They are grouped into three classes: class I further subdivided into subclass A and B, class II and class III. By far the best known and characterized is class I, particularly IA that signals downstream of receptor tyrosine kinases and engages the Akt family of kinases.	
ERROR	duplicate_definition	phosphatidylinositol 3-kinase class III signaling pathway [PW:0000966]	IAO_0000115 [IAO:0000115]	Phosphatidylinositol kinases represent a family of lipid kinases that phosphorylate the 3' position of the inositol ring in target substrates. They are grouped into three classes: class I further subdivided into subclass A and B, class II and class III. By far the best known and characterized is class I, particularly IA that signals downstream of receptor tyrosine kinases and engages the Akt family of kinases.	
ERROR	duplicate_definition	lncRNA maturation pathway [PW:0001580]	IAO_0000115 [IAO:0000115]	Long non-coding RNA transcripts are subject to processing in a manner analogous to mRNA thereby they are capped and polyadenylated, and also frequently spliced.	
ERROR	duplicate_definition	lncRNA capping pathway [PW:0001581]	IAO_0000115 [IAO:0000115]	Long non-coding RNA transcripts are subject to processing in a manner analogous to mRNA thereby they are capped and polyadenylated, and also frequently spliced.	
ERROR	duplicate_definition	lncRNA polyadenylation pathway [PW:0001582]	IAO_0000115 [IAO:0000115]	Long non-coding RNA transcripts are subject to processing in a manner analogous to mRNA thereby they are capped and polyadenylated, and also frequently spliced.	
ERROR	duplicate_definition	G protein mediated signaling pathway via Galphai family [PW:0000228]	IAO_0000115 [IAO:0000115]	Based on sequence similarity, the Galpha genes have been grouped into four classes. Exchange of GDP to GTP promoted through binding to receptors dissociates the heterotrimeric Galpha/beta/gamma complex. GTP-bound Galpha can then interact with downstream effectors. Lipid modification of Galpha regulates membrane localization and interactions with specific effectors.	
ERROR	duplicate_definition	G protein mediated signaling pathway via Galphaq family [PW:0000229]	IAO_0000115 [IAO:0000115]	Based on sequence similarity, the Galpha genes have been grouped into four classes. Exchange of GDP to GTP promoted through binding to receptors dissociates the heterotrimeric Galpha/beta/gamma complex. GTP-bound Galpha can then interact with downstream effectors. Lipid modification of Galpha regulates membrane localization and interactions with specific effectors.	
ERROR	duplicate_definition	G protein mediated signaling pathway via Galphas family [PW:0000227]	IAO_0000115 [IAO:0000115]	Based on sequence similarity, the Galpha genes have been grouped into four classes. Exchange of GDP to GTP promoted through binding to receptors dissociates the heterotrimeric Galpa/beta/gamma complex. GTP-bound Galpha can then interact with downstream effectors. Lipid modification of Galpha regulates membrane localization and interactions with specific effectors.	
ERROR	duplicate_definition	G protein mediated signaling pathway via Galpha12/Galpha13 family [PW:0000230]	IAO_0000115 [IAO:0000115]	Based on sequence similarity, the Galpha genes have been grouped into four classes. Exchange of GDP to GTP promoted through binding to receptors dissociates the heterotrimeric Galpa/beta/gamma complex. GTP-bound Galpha can then interact with downstream effectors. Lipid modification of Galpha regulates membrane localization and interactions with specific effectors.	
ERROR	missing_ontology_description	pw.owl	dc11:description		
ERROR	duplicate_label	synaptic vesicle cycle pathway [PW:0001072]	label [rdfs:label]	synaptic vesicle cycle pathway	
ERROR	duplicate_label	synaptic vesicle cycle pathway [PW:0002423]	label [rdfs:label]	synaptic vesicle cycle pathway	
ERROR	duplicate_label	nervous system lysosomal storage disease pathway [PW:0002020]	label [rdfs:label]	nervous system lysosomal storage disease pathway	
ERROR	duplicate_label	nervous system lysosomal storage disease pathway [PW:0002300]	label [rdfs:label]	nervous system lysosomal storage disease pathway	
ERROR	duplicate_label	monoterpenoid biosynthetic pathway [PW:0000166]	label [rdfs:label]	monoterpenoid biosynthetic pathway	
ERROR	duplicate_label	monoterpenoid biosynthetic pathway [PW:0000252]	label [rdfs:label]	monoterpenoid biosynthetic pathway	
ERROR	duplicate_label	malonic aciduria pathway [PW:0002289]	label [rdfs:label]	malonic aciduria pathway	
ERROR	duplicate_label	malonic aciduria pathway [PW:0002550]	label [rdfs:label]	malonic aciduria pathway	
ERROR	duplicate_label	lysine metabolic pathway [PW:0001081]	label [rdfs:label]	lysine metabolic pathway	
ERROR	duplicate_label	lysine metabolic pathway [PW:0002185]	label [rdfs:label]	lysine metabolic pathway	
ERROR	duplicate_label	liver disease pathway [PW:0001413]	label [rdfs:label]	liver disease pathway	
ERROR	duplicate_label	liver disease pathway [PW:0001698]	label [rdfs:label]	liver disease pathway	
ERROR	duplicate_label	indometacin pharmacokinetics pathway [PW:0002304]	label [rdfs:label]	indometacin pharmacokinetics pathway	
ERROR	duplicate_label	indometacin pharmacokinetics pathway [PW:0002314]	label [rdfs:label]	indometacin pharmacokinetics pathway	
ERROR	duplicate_label	indometacin pharmacodynamics pathway [PW:0002305]	label [rdfs:label]	indometacin pharmacodynamics pathway	
ERROR	duplicate_label	indometacin pharmacodynamics pathway [PW:0002315]	label [rdfs:label]	indometacin pharmacodynamics pathway	
ERROR	duplicate_label	indometacin drug pathway [PW:0002303]	label [rdfs:label]	indometacin drug pathway	
ERROR	duplicate_label	indometacin drug pathway [PW:0002313]	label [rdfs:label]	indometacin drug pathway	
ERROR	duplicate_label	hypermethioninemia pathway [PW:0001868]	label [rdfs:label]	hypermethioninemia pathway	
ERROR	duplicate_label	hypermethioninemia pathway [PW:0002471]	label [rdfs:label]	hypermethioninemia pathway	
ERROR	duplicate_label	ether lipid metabolic pathway [PW:0001138]	label [rdfs:label]	ether lipid metabolic pathway	
ERROR	duplicate_label	ether lipid metabolic pathway [PW:0001157]	label [rdfs:label]	ether lipid metabolic pathway	
ERROR	duplicate_label	eicosanoid signaling pathway [PW:0000565]	label [rdfs:label]	eicosanoid signaling pathway	
ERROR	duplicate_label	eicosanoid signaling pathway [PW:0001294]	label [rdfs:label]	eicosanoid signaling pathway	
ERROR	duplicate_label	adrenergic beta receptor agonist drug pathway [PW:0001736]	label [rdfs:label]	adrenergic beta receptor agonist drug pathway	
ERROR	duplicate_label	adrenergic beta receptor agonist drug pathway [PW:0002498]	label [rdfs:label]	adrenergic beta receptor agonist drug pathway	
ERROR	duplicate_label	<new term> [PW:0000649]	label [rdfs:label]	<new term>	
ERROR	duplicate_label	<new term> [PW:0000695]	label [rdfs:label]	<new term>	
ERROR	duplicate_label	<new term> [PW:0001937]	label [rdfs:label]	<new term>	
ERROR	missing_ontology_license	pw.owl	dc:license		
ERROR	missing_ontology_title	pw.owl	dc11:title		
