Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	alcohol dehydrogenation [REX:0000485]	IAO_0000115 [IAO:0000115]	R-CH(OH)-R' --> R-C(O)-R' + 2 e- + 2 H+	
ERROR	duplicate_definition	secondary alcohol dehydrogenation [REX:0000487]	IAO_0000115 [IAO:0000115]	R-CH(OH)-R' --> R-C(O)-R' + 2 e- + 2 H+	
ERROR	missing_ontology_description	rex.owl	dc11:description		
ERROR	missing_ontology_license	rex.owl	dc:license		
ERROR	missing_ontology_title	rex.owl	dc11:title		
WARN	annotation_whitespace	NADH:cob(II)alamin oxidoreductase reaction [REX:0000523]	IAO_0000115 [IAO:0000115]	cob(II)alamin + NADH + H+ --> 2 cob(I)alamin + NAD+ 	
WARN	missing_definition	physico-chemical process ontology [REX:0000000]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	subatomic process [REX:0000014]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	gamma-decay [REX:0000018]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	gamma emission [REX:0000019]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	internal conversion [REX:0000020]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	internal pair production [REX:0000021]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	electron emission [REX:0000022]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	positron emission [REX:0000023]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	induced fission [REX:0000024]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	catalytic reaction [REX:0000051]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chain reaction step [REX:0000059]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	biomacromolecule-catalysed reaction [REX:0000071]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	enzymatic reaction [REX:0000072]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abzymatic reaction [REX:0000073]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	deoxyribozymatic reaction [REX:0000074]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nucleic acid-catalysed reaction [REX:0000075]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ribozymatic reaction [REX:0000076]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	protein-catalysed reaction [REX:0000077]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	noncatalytic reaction [REX:0000084]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	addition [REX:0000089]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	rearrangement [REX:0000094]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cheletropic elimination [REX:0000102]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	biochemical reaction [REX:0000103]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	biotransformation reaction [REX:0000104]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	biological transport [REX:0000105]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	biological electron transfer [REX:0000106]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	transferase reaction [REX:0000108]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hydrolase reaction [REX:0000109]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	lyase reaction [REX:0000110]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	isomerase reaction [REX:0000111]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ligase reaction [REX:0000112]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	acid anhydride hydrolase reaction [REX:0000113]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	phosphorus-containing anhydride hydrolase reaction [REX:0000114]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nucleoside triphosphate (di)phosphohydrolase reaction [REX:0000117]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	transmembrane transport [REX:0000119]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	primary active transport [REX:0000123]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	secondary active transport [REX:0000124]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	diphosphate-bond-hydrolysis-driven transport [REX:0000125]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	decarboxylation-driven transport [REX:0000126]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	methyl-transfer-driven transport [REX:0000127]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	oxidoreduction-driven transport [REX:0000128]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	light-driven transport [REX:0000129]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	transmembrane electron transfer [REX:0000130]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	two-electron transmembrane electron transfer [REX:0000131]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	one-electron transmembrane electron transfer [REX:0000132]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	solute transport [REX:0000135]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	photobiochemical reaction [REX:0000137]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	intermembrane electron transfer [REX:0000138]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	one-electron transfer [REX:0000139]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	two-electron transfer [REX:0000140]	IAO_0000115 [IAO:0000115]		
