Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	existence starts at point [RO:0002583]	IAO_0000115 [IAO:0000115]	x existence starts at point y if and only if the time point at which x starts is equivalent to the time point at which y ends.	
ERROR	duplicate_definition	existence ends at point [RO:0002593]	IAO_0000115 [IAO:0000115]	x existence starts at point y if and only if the time point at which x starts is equivalent to the time point at which y ends.	
ERROR	duplicate_definition	directly activates [RO:0002406]	IAO_0000115 [IAO:0000115]	p directly activates q if and only if p is immediately upstream of q and p is the realization of a function to increase the rate or activity of q	
ERROR	duplicate_definition	indirectly activates [RO:0002407]	IAO_0000115 [IAO:0000115]	p directly activates q if and only if p is immediately upstream of q and p is the realization of a function to increase the rate or activity of q	
ERROR	duplicate_definition	lays eggs on [RO:0008507]	IAO_0000115 [IAO:0000115]	An interaction relationship in which organism a lays eggs on the outside surface of organism b. Organism b is neither helped nor harmed in the process of egg laying or incubation.	
ERROR	duplicate_definition	has eggs laid on by [RO:0008508]	IAO_0000115 [IAO:0000115]	An interaction relationship in which organism a lays eggs on the outside surface of organism b. Organism b is neither helped nor harmed in the process of egg laying or incubation.	
ERROR	duplicate_definition	upstream in neural circuit with [RO:0000301]	IAO_0000115 [IAO:0000115]	A relation that holds between a neuron that is synapsed_to another neuron or a neuron that is connected indirectly to another by a chain of neurons, each synapsed_to the next.@en	
ERROR	duplicate_definition	downstream in neural circuit with [RO:0000302]	IAO_0000115 [IAO:0000115]	A relation that holds between a neuron that is synapsed_to another neuron or a neuron that is connected indirectly to another by a chain of neurons, each synapsed_to the next.@en	
ERROR	missing_ontology_description	ro.owl	dc11:description		
ERROR	missing_ontology_title	ro.owl	dc11:title		
WARN	annotation_whitespace	in neural circuit with [RO:0000300]	IAO_0000426 [IAO:0000426]	(forall (?x ?y)         (iff             (neural_circuit_path  ?x ?y)            (and                (\"neuron ; CL_0000540\" ?x)                (\"neuron ; CL_0000540\" ?y)                (or                     (synapsed_by ?x ?y)                     (synapsed_to ?x ?y)))))         (forall (...s ?x ?y ?z)         (iff             (neural_circuit_path  ...s ?x ?y ?z)            (and                (neural_circuit_path  ...s ?x ?y)                (\"neuron ; CL_0000540\" ?z)                (or                     (synapsed_by ?y ?z)                     (synapsed_to ?y ?z)))))         (forall (?x ?y)         (iff             (in_neural_circuit_with ?x ?y)            (exists (...s)                (neural_circuit_path  ?x ...s ?y)))) 	
WARN	annotation_whitespace	contained in [RO:0001018]	IAO_0000116 [IAO:0000116]	Intended meaning:    domain: material entity    range: spatial region or site (immaterial continuant)            @en	
WARN	annotation_whitespace	synapsed by [RO:0002103]	IAO_0000115 [IAO:0000115]	Relation between an anatomical structure (including cells) and a neuron that chemically synapses to it. @en	
WARN	annotation_whitespace	has postsynaptic terminal in [RO:0002110]	IAO_0000115 [IAO:0000115]	Relation between a neuron and some structure (e.g.- a brain region) in which it receives (chemical) synaptic input. @en	
WARN	annotation_whitespace	synapsed to [RO:0002120]	IAO_0000115 [IAO:0000115]	 Relation between a neuron and an anatomical structure (including cells) that it chemically synapses to.            @en	
WARN	annotation_whitespace	never in taxon [RO:0002161]	IAO_0000425 [IAO:0000425]	?X DisjointWith RO_0002162 some ?Y 	
WARN	annotation_whitespace	spatially disjoint from [RO:0002163]	IAO_0000116 [IAO:0000116]	There are two ways to encode this as a shortcut relation. The other possibility to use an annotation assertion between two classes, and expand this to a disjointness axiom. @en	
WARN	annotation_whitespace	capable of [RO:0002215]	IAO_0000115 [IAO:0000115]	A relation between a material entity (such as a cell) and a process, in which the material entity has the ability to carry out the process. 	
WARN	annotation_whitespace	developmentally induced by [RO:0002256]	IAO_0000119 [IAO:0000119]	 Developmental Biology, Gilbert, 8th edition, figure 6.5(F)	
WARN	annotation_whitespace	results in maturation of [RO:0002299]	IAO_0000112 [IAO:0000112]	 an annotation of gene X to cell maturation with results_in_maturation_of CL:0000057 (fibroblast) means that the fibroblast is mature at the end of the process	
WARN	annotation_whitespace	contributes to [RO:0002326]	IAO_0000232 [IAO:0000232]	In the context of the Gene Ontology, contributes_to may be used only with classes from the molecular function ontology. 	
WARN	annotation_whitespace	results in transport along [RO:0002341]	IAO_0000115 [IAO:0000115]	Holds between p and l when p is a transportation or localization process and the outcome of this process is to move c from one location to another, and the route taken by c follows a path that is aligned_with l 	
