Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	SS-Nckap5em2Mcwi [RS:0002426]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Rag1em2Mcwi [RS:0002427]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Ets1em1Mcwi [RS:0002428]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	FHH-Chr 1BN-Sorcs1em1Mcwi [RS:0002429]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Mmp2em1Mcwi [RS:0002430]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	FHH.BN-(D1Hmgc14-D1Hmgc15)/Mcwi-Rab38em1Mcwi [RS:0002431]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Mmp2em2Mcwi [RS:0002432]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Nckap5em1Mcwi [RS:0002433]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Renem1Mcwi [RS:0002434]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Nckap5em3Mcwi [RS:0002435]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Nppaem4Mcwi [RS:0002436]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Nox4em2Mcwi [RS:0002437]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Rag1em1Mcwi [RS:0002438]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Sh2b3em1Mcwi [RS:0002439]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Acad10em2Mcwi [RS:0002578]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Alms1em1Mcwi [RS:0002579]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Aldh2em2Mcwi [RS:0002580]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Apoeem8Mcwi [RS:0002581]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Apoeem7Mcwi [RS:0002582]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Cdh13em1Mcwi [RS:0002583]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Cyp1a1em1Mcwi [RS:0002584]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Cybaem1Mcwi [RS:0002585]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Cyp1a1em5Mcwi [RS:0002586]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Msraem3Mcwi [RS:0002587]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Prokr1em2Mcwi [RS:0002588]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Mas1em1Mcwi [RS:0002589]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Prokr1em1Mcwi [RS:0002590]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Mstnem2Mcwi [RS:0002591]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Nox4em1Mcwi [RS:0002592]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Mstnem3Mcwi [RS:0002593]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Mthfrem1Mcwi [RS:0002594]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Plod1em1Mcwi [RS:0002595]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Rasgrp3em1Mcwi [RS:0002596]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
ERROR	duplicate_definition	SS-Ptpn11em1Mcwi [RS:0002597]	IAO_0000115 [IAO:0000115]	PhysGen Knockouts	
