Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	rxno.obo.owl	dc11:description		
ERROR	missing_ontology_license	rxno.obo.owl	dc:license		
ERROR	missing_ontology_title	rxno.obo.owl	dc11:title		
WARN	missing_definition	ester condensation reaction [RXNO:0000317]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has specified product [RXNO:0000423]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has specified reactant [RXNO:0000424]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has_catalyst [RXNO:0000425]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has_intermediate [RXNO:0000469]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Barton olefination [RXNO:0000495]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cyclic Beckmann rearrangement [RXNO:0000574]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Dess-Martin aldehyde oxidation [RXNO:0000575]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Dess-Martin ketone oxidation [RXNO:0000576]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Friedlander quinoline synthesis [RXNO:0000577]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	iodo Sonogashira coupling [RXNO:0000579]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	iodo Suzuki coupling [RXNO:0000580]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	iodo Suzuki-type coupling [RXNO:0000581]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	iodolactonization [RXNO:0000582]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Niementowski quinazoline synthesis [RXNO:0000583]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Niementowski quinoline synthesis [RXNO:0000584]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Pomeranz–Fritsch reaction [RXNO:0000585]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Steglich esterification [RXNO:0000586]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	triflyloxy Sonogashira coupling [RXNO:0000587]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	triflyloxy Suzuki coupling [RXNO:0000588]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	triflyloxy Suzuki-type coupling [RXNO:0000589]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Wenker synthesis [RXNO:0000590]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	acyclic Beckmann rearrangement [RXNO:0000631]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Baeyer–Emmerling indole synthesis [RXNO:0000632]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bromo Sonogashira coupling [RXNO:0000633]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bromo Suzuki coupling [RXNO:0000634]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bromo Suzuki-type coupling [RXNO:0000635]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bromolactonization [RXNO:0000636]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chloro Sonogashira coupling [RXNO:0000637]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chloro Suzuki coupling [RXNO:0000638]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chloro Suzuki-type coupling [RXNO:0000639]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chlorolactonization [RXNO:0000640]	IAO_0000115 [IAO:0000115]		
WARN	missing_obsolete_label	ring reaction [RXNO:0000004]	label [rdfs:label]	ring reaction	
WARN	missing_obsolete_label	Heck-type reaction/cross-coupling [RXNO:0000557]	label [rdfs:label]	Heck-type reaction/cross-coupling	
WARN	missing_obsolete_label	bromo Heck reaction/Liebeskind-Srogl coupling [RXNO:0000558]	label [rdfs:label]	bromo Heck reaction/Liebeskind-Srogl coupling	
WARN	missing_obsolete_label	chloro Heck reaction/Fukuyama coupling [RXNO:0000559]	label [rdfs:label]	chloro Heck reaction/Fukuyama coupling	
WARN	missing_obsolete_label	iodo Heck reaction/chloride Finkelstein reaction [RXNO:0000560]	label [rdfs:label]	iodo Heck reaction/chloride Finkelstein reaction	
WARN	missing_obsolete_label	triflyloxy Heck reaction/bromide Finkelstein reaction [RXNO:0000561]	label [rdfs:label]	triflyloxy Heck reaction/bromide Finkelstein reaction	
WARN	missing_obsolete_label	bromo Heck-type reaction/sulfonate ester Finkelstein reaction [RXNO:0000562]	label [rdfs:label]	bromo Heck-type reaction/sulfonate ester Finkelstein reaction	
WARN	missing_obsolete_label	chloro Heck-type reaction/Sandmeyer fluorination [RXNO:0000563]	label [rdfs:label]	chloro Heck-type reaction/Sandmeyer fluorination	
WARN	missing_obsolete_label	acyclic Beckmann rearrangement/Sandmeyer chlorination [RXNO:0000564]	label [rdfs:label]	acyclic Beckmann rearrangement/Sandmeyer chlorination	
WARN	missing_obsolete_label	Baeyer–Emmerling indole synthesis/Sandmeyer bromination [RXNO:0000565]	label [rdfs:label]	Baeyer–Emmerling indole synthesis/Sandmeyer bromination	
WARN	missing_obsolete_label	bromo Sonogashira coupling/Sandmeyer iodination [RXNO:0000566]	label [rdfs:label]	bromo Sonogashira coupling/Sandmeyer iodination	
WARN	missing_obsolete_label	bromo Suzuki coupling/iodo Heck reaction [RXNO:0000567]	label [rdfs:label]	bromo Suzuki coupling/iodo Heck reaction	
WARN	missing_obsolete_label	bromo Suzuki-type coupling/triflyloxy Heck reaction [RXNO:0000568]	label [rdfs:label]	bromo Suzuki-type coupling/triflyloxy Heck reaction	
WARN	missing_obsolete_label	bromolactonization/bromo Heck-type reaction [RXNO:0000569]	label [rdfs:label]	bromolactonization/bromo Heck-type reaction	
