Level	Rule Name	Subject	Property	Value
ERROR	misused_obsolete_label	obsolete_manual assertion process [SEPIO:0000055]	label [rdfs:label]	obsolete_manual assertion process@en	
ERROR	misused_obsolete_label	obsolete_automated assertion process [SEPIO:0000056]	label [rdfs:label]	obsolete_automated assertion process@en	
ERROR	misused_obsolete_label	obsolete_study group [SEPIO:0000127]	label [rdfs:label]	obsolete_study group@en	
ERROR	misused_obsolete_label	obsolete_observation [SEPIO:0000175]	label [rdfs:label]	obsolete_observation@en	
ERROR	missing_ontology_description	sepio.owl	dc11:description		
ERROR	missing_ontology_license	sepio.owl	dc:license		
ERROR	missing_ontology_title	sepio.owl	dc11:title		
WARN	missing_definition	is_asserted_in [SEPIO:0000015]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has_agent [SEPIO:0000017]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	date_created [SEPIO:0000021]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	assertion_has_subject [SEPIO:0000026]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	assertion_has_object [SEPIO:0000027]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	assertion_has_predicate [SEPIO:0000028]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	date_evaluated [SEPIO:0000040]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has_role [SEPIO:0000046]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	date_submitted [SEPIO:0000051]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	consider [SEPIO:0000052]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	obsolete_manual assertion process [SEPIO:0000055]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	SEPIO_editor_note [SEPIO:0000061]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	date_started [SEPIO:0000063]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	interventional clinical study [SEPIO:0000069]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	observational clinical study [SEPIO:0000070]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	case-control clinical study [SEPIO:0000071]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	in vitro study [SEPIO:0000073]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	in vivo study [SEPIO:0000074]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cell-based in vivo study [SEPIO:0000076]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	tissue-based in vivo study [SEPIO:0000077]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	organism-based in vivo study [SEPIO:0000078]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	curation-based study [SEPIO:0000081]	IAO_0000115 [IAO:0000115]		
