Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	unitary_pseudogenic_rRNA [SO:0002195]	IAO_0000115 [IAO:0000115]	The pseudogene has no parent. It is the original gene, which is functional in some species but disrupted in some way (indels, mutation, recombination) in another species or strain.	
ERROR	duplicate_definition	unitary_pseudogenic_tRNA [SO:0002199]	IAO_0000115 [IAO:0000115]	The pseudogene has no parent. It is the original gene, which is functional in some species but disrupted in some way (indels, mutation, recombination) in another species or strain.	
ERROR	duplicate_definition	unprocessed_pseudogenic_rRNA [SO:0002194]	IAO_0000115 [IAO:0000115]	The pseudogene has arisen from a copy of the parent gene by duplication followed by accumulation of random mutation. The changes, compared to their functional homolog, include insertions, deletions, premature stop codons, frameshifts and a higher proportion of non-synonymous versus synonymous substitutions.	
ERROR	duplicate_definition	unprocessed_pseudogenic_tRNA [SO:0002198]	IAO_0000115 [IAO:0000115]	The pseudogene has arisen from a copy of the parent gene by duplication followed by accumulation of random mutation. The changes, compared to their functional homolog, include insertions, deletions, premature stop codons, frameshifts and a higher proportion of non-synonymous versus synonymous substitutions.	
ERROR	duplicate_definition	processed_pseudogenic_rRNA [SO:0002193]	IAO_0000115 [IAO:0000115]	The pseudogene has arisen by reverse transcription of a mRNA into cDNA, followed by reintegration into the genome. Therefore, it has lost any intron/exon structure, and it might have a pseudo-polyA-tail.	
ERROR	duplicate_definition	processed_pseudogenic_tRNA [SO:0002197]	IAO_0000115 [IAO:0000115]	The pseudogene has arisen by reverse transcription of a mRNA into cDNA, followed by reintegration into the genome. Therefore, it has lost any intron/exon structure, and it might have a pseudo-polyA-tail.	
ERROR	duplicate_definition	circular_single_stranded_DNA_chromosome [SO:0000960]	IAO_0000115 [IAO:0000115]	Structural unit composed of a self-replicating, single-stranded, circular DNA molecule.	
ERROR	duplicate_definition	circular_single_stranded_RNA_chromosome [SO:0000966]	IAO_0000115 [IAO:0000115]	Structural unit composed of a self-replicating, single-stranded, circular DNA molecule.	
ERROR	duplicate_definition	sugar_edge_base_pair [SO:0000030]	IAO_0000115 [IAO:0000115]	A type of non-canonical base-pairing.	
ERROR	duplicate_definition	reverse_Hoogsteen_base_pair [SO:0000501]	IAO_0000115 [IAO:0000115]	A type of non-canonical base-pairing.	
ERROR	duplicate_definition	engineered_foreign_transposable_element_gene [SO:0000283]	IAO_0000115 [IAO:0000115]	A transposable_element that is engineered and foreign.	
ERROR	duplicate_definition	engineered_foreign_transposable_element [SO:0000799]	IAO_0000115 [IAO:0000115]	A transposable_element that is engineered and foreign.	
ERROR	duplicate_definition	forward_primer [SO:0000121]	IAO_0000115 [IAO:0000115]	A single stranded oligo used for polymerase chain reaction.	
ERROR	duplicate_definition	reverse_primer [SO:0000132]	IAO_0000115 [IAO:0000115]	A single stranded oligo used for polymerase chain reaction.	
ERROR	duplicate_definition	3D_polypeptide_structure_variant [SO:0001599]	IAO_0000115 [IAO:0000115]	A sequence variant that changes the resulting polypeptide structure.	
ERROR	duplicate_definition	complex_3D_structural_variant [SO:0001600]	IAO_0000115 [IAO:0000115]	A sequence variant that changes the resulting polypeptide structure.	
ERROR	duplicate_definition	dg_repeat [SO:0001898]	IAO_0000115 [IAO:0000115]	A repeat region which is part of the regional centromere outer repeat region.	
ERROR	duplicate_definition	dh_repeat [SO:0001899]	IAO_0000115 [IAO:0000115]	A repeat region which is part of the regional centromere outer repeat region.	
ERROR	duplicate_definition	serine_tRNA_primary_transcript [SO:0000226]	IAO_0000115 [IAO:0000115]	A primary transcript encoding seryl tRNA (SO:000269).	
ERROR	duplicate_definition	selenocysteine_tRNA_primary_transcript [SO:0005856]	IAO_0000115 [IAO:0000115]	A primary transcript encoding seryl tRNA (SO:000269).	
