Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	symp.owl	dc11:description		
ERROR	duplicate_label	transient fever [SYMP:0000161]	label [rdfs:label]	transient fever	
ERROR	duplicate_label	transient fever [SYMP:0000878]	label [rdfs:label]	transient fever	
ERROR	duplicate_label	sudden onset of fever [SYMP:0000148]	label [rdfs:label]	sudden onset of fever	
ERROR	duplicate_label	sudden onset of fever [SYMP:0000671]	label [rdfs:label]	sudden onset of fever	
ERROR	duplicate_label	spastic paralysis [SYMP:0000140]	label [rdfs:label]	spastic paralysis	
ERROR	duplicate_label	spastic paralysis [SYMP:0000847]	label [rdfs:label]	spastic paralysis	
ERROR	duplicate_label	nasal discharge [SYMP:0000096]	label [rdfs:label]	nasal discharge	
ERROR	duplicate_label	nasal discharge [SYMP:0000701]	label [rdfs:label]	nasal discharge	
ERROR	duplicate_label	lameness [SYMP:0000067]	label [rdfs:label]	lameness	
ERROR	duplicate_label	lameness [SYMP:0000875]	label [rdfs:label]	lameness	
ERROR	duplicate_label	hind limb paralysis [SYMP:0000049]	label [rdfs:label]	hind limb paralysis	
ERROR	duplicate_label	hind limb paralysis [SYMP:0000711]	label [rdfs:label]	hind limb paralysis	
ERROR	duplicate_label	high fever [SYMP:0000048]	label [rdfs:label]	high fever	
ERROR	duplicate_label	high fever [SYMP:0000882]	label [rdfs:label]	high fever	
ERROR	missing_ontology_license	symp.owl	dc:license		
ERROR	missing_ontology_title	symp.owl	dc11:title		
WARN	annotation_whitespace	ptosis [SYMP:0000369]	hasExactSynonym [oboInOwl:hasExactSynonym]	droopiness 	
WARN	annotation_whitespace	palpitation [SYMP:0000530]	hasExactSynonym [oboInOwl:hasExactSynonym]	abnormal heart beats 	
WARN	annotation_whitespace	continuous fever [SYMP:0000888]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	continued fever 	
WARN	duplicate_exact_synonym	enlargement of lymph nodes [SYMP:0000521]	hasExactSynonym [oboInOwl:hasExactSynonym]	lymphadenopathy	
WARN	duplicate_exact_synonym	adenopathy [SYMP:0019142]	hasExactSynonym [oboInOwl:hasExactSynonym]	lymphadenopathy	
WARN	missing_definition	abdominal cramp [SYMP:0000001]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abdominal distention [SYMP:0000002]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	blindness [SYMP:0000008]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	giddiness [SYMP:0000015]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	crinkle [SYMP:0000017]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	darkening of skin [SYMP:0000018]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	deafness [SYMP:0000019]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	depression [SYMP:0000022]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	drowsiness [SYMP:0000024]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	dry cough [SYMP:0000025]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	flaccidity [SYMP:0000032]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	flat keratotic capsule [SYMP:0000033]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hemorrhagic gastroenteritis [SYMP:0000036]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	dyspneic enteritis [SYMP:0000038]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hemorrhage [SYMP:0000041]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hepatic necrosis [SYMP:0000045]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hepatitis [SYMP:0000046]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hepatosplenomegaly [SYMP:0000047]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hydrocephalus [SYMP:0000051]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hypergammaglobulinemia [SYMP:0000054]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hyperreflexia [SYMP:0000058]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hypotension [SYMP:0000059]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	intestinal hemorrhage [SYMP:0000063]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	joint pain [SYMP:0000064]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	keratotic nodules of the skin [SYMP:0000066]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	laryngitis [SYMP:0000068]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	laryngotracheitis [SYMP:0000069]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	lesions in myocardium [SYMP:0000070]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	lesions in swim bladder [SYMP:0000074]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	listlessness [SYMP:0000076]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	coordination symptom [SYMP:0000079]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	lesions in lung [SYMP:0000082]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	lymphangitis [SYMP:0000083]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	lymphoblastoma [SYMP:0000084]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	lymphopenia [SYMP:0000086]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	massive hepatic necrosis [SYMP:0000087]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	encephalitis [SYMP:0000090]	IAO_0000115 [IAO:0000115]		
