Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	vertebra 4 [TAO:0001170]	IAO_0000115 [IAO:0000115]	Vertebra that is posteriorly adjacent to vertebra 5.	
ERROR	duplicate_definition	vertebra 6 [TAO:0001980]	IAO_0000115 [IAO:0000115]	Vertebra that is posteriorly adjacent to vertebra 5.	
ERROR	duplicate_definition	somite 1 [TAO:0000072]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 5 [TAO:0000073]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 26 [TAO:0000074]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 20 [TAO:0000156]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 30 [TAO:0000157]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 11 [TAO:0000725]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 14 [TAO:0000726]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 17 [TAO:0000727]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 2 [TAO:0000728]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 23 [TAO:0000730]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 27 [TAO:0000731]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 3 [TAO:0000732]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 7 [TAO:0000733]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 12 [TAO:0000851]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 15 [TAO:0000852]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 18 [TAO:0000853]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 21 [TAO:0000854]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 24 [TAO:0000855]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 28 [TAO:0000856]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 4 [TAO:0000857]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 8 [TAO:0000858]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 10 [TAO:0000974]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 13 [TAO:0000975]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 16 [TAO:0000976]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 19 [TAO:0000977]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
ERROR	duplicate_definition	somite 22 [TAO:0000978]	IAO_0000115 [IAO:0000115]	Undifferentiated mesodermal component of early trunk or tail segment or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome. Kimmel et al, 1995.	
