Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	taxrank.owl	dc11:description		
ERROR	missing_ontology_license	taxrank.owl	dc:license		
ERROR	missing_ontology_title	taxrank.owl	dc11:title		
WARN	missing_definition	phylum [TAXRANK:0000001]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	class [TAXRANK:0000002]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	order [TAXRANK:0000003]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	family [TAXRANK:0000004]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	genus [TAXRANK:0000005]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	species [TAXRANK:0000006]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	subclass [TAXRANK:0000007]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	subphylum [TAXRANK:0000008]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	subgenus [TAXRANK:0000009]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	species_group [TAXRANK:0000010]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	species_subgroup [TAXRANK:0000011]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	species_complex [TAXRANK:0000012]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	infraorder [TAXRANK:0000013]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	suborder [TAXRANK:0000014]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	superclass [TAXRANK:0000015]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	varietas [TAXRANK:0000016]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	kingdom [TAXRANK:0000017]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	superfamily [TAXRANK:0000018]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	infraclass [TAXRANK:0000019]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	superorder [TAXRANK:0000020]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	parvorder [TAXRANK:0000021]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	superkingdom [TAXRANK:0000022]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	subspecies [TAXRANK:0000023]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	subfamily [TAXRANK:0000024]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	tribe [TAXRANK:0000025]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	forma [TAXRANK:0000026]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	superphylum [TAXRANK:0000027]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	subtribe [TAXRANK:0000028]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	subkingdom [TAXRANK:0000029]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	section [TAXRANK:0000030]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	series [TAXRANK:0000031]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bio-variety [TAXRANK:0000032]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	candidate [TAXRANK:0000033]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cultivar [TAXRANK:0000034]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cultivar-group [TAXRANK:0000035]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	denominationclass [TAXRANK:0000036]	IAO_0000115 [IAO:0000115]		
