Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	floral bract development trait [TO:0006025]	IAO_0000115 [IAO:0000115]	Traits associated with observing effects on the development of the floral bracts.	
ERROR	duplicate_definition	inflorescence bract development trait [TO:0006027]	IAO_0000115 [IAO:0000115]	Traits associated with observing effects on the development of the floral bracts.	
ERROR	duplicate_definition	momilactone A content [TO:0002670]	IAO_0000115 [IAO:0000115]	Measures the momilactone A content in a plant or plant part.	
ERROR	duplicate_definition	momilactone B content [TO:0002671]	IAO_0000115 [IAO:0000115]	Measures the momilactone A content in a plant or plant part.	
ERROR	duplicate_definition	root epidermis cell length [TO:0000459]	IAO_0000115 [IAO:0000115]	Length of the root epidermal cell length.	
ERROR	duplicate_definition	root cortical cell length [TO:0020108]	IAO_0000115 [IAO:0000115]	Length of the root epidermal cell length.	
ERROR	duplicate_definition	rice bacterial blight disease resistance [TO:0000175]	IAO_0000115 [IAO:0000115]	Causal agent: Xanthomonas oryzae pv. oryzae.	
ERROR	duplicate_definition	rice seedling blight disease resistance [TO:0000204]	IAO_0000115 [IAO:0000115]	Causal agent: Xanthomonas oryzae pv. oryzae.	
ERROR	duplicate_definition	barley spot blotch disease resistance [TO:0020052]	IAO_0000115 [IAO:0000115]	Causal agent: Cochliobolus sativus (Bipolaris sorokiniana).	
ERROR	duplicate_definition	wheat spot blotch disease resistance [TO:0020053]	IAO_0000115 [IAO:0000115]	Causal agent: Cochliobolus sativus (Bipolaris sorokiniana).	
ERROR	missing_ontology_description	to.owl	dc11:description		
ERROR	duplicate_label	stem senescence [TO:0001036]	label [rdfs:label]	stem senescence	
ERROR	duplicate_label	stem senescence [TO:0020085]	label [rdfs:label]	stem senescence	
ERROR	duplicate_label	grain length to width ratio [TO:0000411]	label [rdfs:label]	grain length to width ratio	
ERROR	duplicate_label	grain length to width ratio [TO:0002731]	label [rdfs:label]	grain length to width ratio	
ERROR	missing_ontology_license	to.owl	dc:license		
ERROR	missing_ontology_title	to.owl	dc11:title		
WARN	annotation_whitespace	sterility or fertility trait [TO:0000392]	IAO_0000115 [IAO:0000115]	 A plant trait (TO:0000387) which is a measure of either the fertility or sterility, contributed by nonfunctional male and or female plant parts or their incompatible interaction. This also includes traits on seed setting behavior in the fruit (caryopsis) of a grass plant that can be assayed in terms of spikelet sterility or fertility.	
WARN	annotation_whitespace	inflorescence width [TO:0000804]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	 INFLWD (related)	
WARN	annotation_whitespace	kernel number per row [TO:0000938]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	 78114   (related)	
WARN	annotation_whitespace	shoot system molybdenum content [TO:1000065]	IAO_0000115 [IAO:0000115]	A molybdenum content trait (TO:0006056) which is the (CHEBI:37239) in a shoot system (PO:0009006). 	
WARN	duplicate_exact_synonym	iodine content trait [TO:0001046]	hasExactSynonym [oboInOwl:hasExactSynonym]	I content (exact)	
WARN	duplicate_exact_synonym	lead content trait [TO:0001047]	hasExactSynonym [oboInOwl:hasExactSynonym]	I content (exact)	
WARN	missing_definition	black streak dwarf virus resistance [TO:0000020]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	silicon sensitivity [TO:0000031]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	selenium sensitivity [TO:0000032]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	iodine sensitivity [TO:0000033]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	incompatibility trait [TO:0000035]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hybrid incompatibility [TO:0000036]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	fluorine sensitivity [TO:0000038]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	f1-hybrid incompatibility [TO:0000042]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	f2-generation sterility [TO:0000046]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	sporophytic incompatibility [TO:0000047]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	gametophytic incompatibility [TO:0000049]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	grain moisture [TO:0000057]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	node shattering [TO:0000061]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	phenol reaction [TO:0000062]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mimic response [TO:0000063]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	variegated leaf [TO:0000069]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	root pulling force [TO:0000093]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	flooding related trait [TO:0000114]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	genic male sterility [TO:0000199]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	crop damage resistance [TO:0000236]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	other nutrient sensitivity [TO:0000247]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	seed dormancy [TO:0000253]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	inflorescence length [TO:0000271]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nodal tillering [TO:0000285]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	seed viability [TO:0000345]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	female sterility [TO:0000358]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	shoot elongation rate [TO:0000368]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	consistency viscosity [TO:0000376]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cooked grain elongation [TO:0000377]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cool paste viscosity [TO:0000379]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hot paste viscosity [TO:0000408]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	peak viscosity [TO:0000409]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	white rice protein content [TO:0000414]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	fertility related trait [TO:0000420]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pollen fertility [TO:0000421]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	anther culturability [TO:0000425]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	callus induction [TO:0000428]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	root activity [TO:0000434]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	seed longevity [TO:0000435]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	humidity related trait [TO:0000441]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	parasitic weed [TO:0000444]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	total biomass yield [TO:0000457]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	light intensity sensitivity [TO:0000460]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	basic vegetative phase [TO:0000461]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	albino plantlet differentiation frequency [TO:0000464]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	adventitious root thickness [TO:0000475]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	sterility related trait [TO:0000485]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	seed composition quality trait [TO:0000488]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	carbohydrate composition related trait [TO:0000489]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	fat and essential oil composition related trait [TO:0000491]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pigment content trait [TO:0000494]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	fertility restoration trait [TO:0000497]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	submergence tolerance [TO:0000524]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	total shoot elongation under submergence [TO:0000528]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	tiller angle [TO:0000567]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	white-backed planthopper egg mortality [TO:0000569]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	watery lesion percentage [TO:0000570]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cytoplasmic male sterility [TO:0000580]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	relative phosphorus distribution between shoot and root [TO:0000626]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	relative phosphorus utilization efficiency [TO:0000627]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	green plantlet differentiation frequency [TO:0000631]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	green plantlet yield frequency [TO:0000632]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	relative total dry weight [TO:0000633]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	popping expansion volume [TO:0000635]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	relative shoot dry weight [TO:0000636]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	spike width [TO:0000638]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	seed fertility [TO:0000639]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	relative phosphorus concentration [TO:0000645]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cauline axillary branch number [TO:0000646]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	relative acid phosphatase activity [TO:0000647]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	relative phosphorus uptake [TO:0000648]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	flour color [TO:0000651]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	axillary bud dormancy [TO:0000660]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	tiller bud dormancy [TO:0000661]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	fungal blight disease resistance [TO:0000664]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	brown rice yield [TO:0000666]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pre-flowering flower abortion [TO:0000671]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bran percentage [TO:0000672]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	inflorescence circumference [TO:0000680]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	grain tenderness [TO:0000689]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	NCLB incubation period [TO:0000692]	IAO_0000115 [IAO:0000115]		
