Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	tto.owl	dc11:description		
ERROR	duplicate_label	Sarcopterygii [TTO:19]	label [rdfs:label]	Sarcopterygii	
ERROR	duplicate_label	Sarcopterygii [TTO:639]	label [rdfs:label]	Sarcopterygii	
ERROR	duplicate_label	Nahangbagrus [TTO:110995]	label [rdfs:label]	Nahangbagrus	
ERROR	duplicate_label	Nahangbagrus [TTO:111006]	label [rdfs:label]	Nahangbagrus	
ERROR	duplicate_label	Liza ramado [TTO:1016930]	label [rdfs:label]	Liza ramado	
ERROR	duplicate_label	Liza ramado [TTO:1016962]	label [rdfs:label]	Liza ramado	
ERROR	duplicate_label	Labeo [TTO:100863]	label [rdfs:label]	Labeo	
ERROR	duplicate_label	Labeo [TTO:101058]	label [rdfs:label]	Labeo	
ERROR	duplicate_label	Hypseleotris cyprinoides [TTO:1020535]	label [rdfs:label]	Hypseleotris cyprinoides	
ERROR	duplicate_label	Hypseleotris cyprinoides [TTO:1048594]	label [rdfs:label]	Hypseleotris cyprinoides	
ERROR	duplicate_label	Hypomasticus [TTO:10000077]	label [rdfs:label]	Hypomasticus	
ERROR	duplicate_label	Hypomasticus [TTO:106693]	label [rdfs:label]	Hypomasticus	
ERROR	duplicate_label	Diagramma pictum [TTO:1021174]	label [rdfs:label]	Diagramma pictum	
ERROR	duplicate_label	Diagramma pictum [TTO:1050432]	label [rdfs:label]	Diagramma pictum	
ERROR	duplicate_label	Chondrichthyes [TTO:12]	label [rdfs:label]	Chondrichthyes	
ERROR	duplicate_label	Chondrichthyes [TTO:7]	label [rdfs:label]	Chondrichthyes	
ERROR	duplicate_label	Actinopterygii [TTO:18]	label [rdfs:label]	Actinopterygii	
ERROR	duplicate_label	Actinopterygii [TTO:699]	label [rdfs:label]	Actinopterygii	
ERROR	missing_ontology_license	tto.owl	dc:license		
ERROR	missing_ontology_title	tto.owl	dc11:title		
WARN	annotation_whitespace	Cryptarius daugueti [TTO:1053509]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	Hemipimelodus daugueti 	
WARN	annotation_whitespace	Gymnotus mamiraua [TTO:1066444]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	Gymnotus mamiraua 	
WARN	annotation_whitespace	Gymnotus arapaima [TTO:1066445]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	Gymnotus arapaima 	
WARN	annotation_whitespace	Gymnotus jonasi [TTO:1066446]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	Gymnotus jonasi 	
WARN	annotation_whitespace	Sinilabeo tonkinensis [TTO:1068715]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	 loos	
WARN	annotation_whitespace	Astyanax varzeae [TTO:1069774]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	 Astyanax varzeae	
WARN	missing_definition	Chordata [TTO:0]	IAO:0000115		
WARN	missing_definition	Craniata [TTO:1]	IAO:0000115		
WARN	missing_definition	Eigenmannia sp. (Fink and Fink 1981) [TTO:10000001]	IAO:0000115		
WARN	missing_definition	Sternopygus sp. (Fink and Fink 1981) [TTO:10000002]	IAO:0000115		
WARN	missing_definition	Distichodontidae [TTO:10000003]	IAO:0000115		
WARN	missing_definition	Serrasalmidae [TTO:10000004]	IAO:0000115		
WARN	missing_definition	Eigenmanniidae [TTO:10000005]	IAO:0000115		
WARN	missing_definition	Hiodontiformes [TTO:10000006]	IAO:0000115		
WARN	missing_definition	Vaillantellidae [TTO:10000007]	IAO:0000115		
WARN	missing_definition	Elassomatiformes [TTO:10000008]	IAO:0000115		
WARN	missing_definition	Mugiliformes [TTO:10000009]	IAO:0000115		
WARN	missing_definition	Dactylopteriformes [TTO:10000010]	IAO:0000115		
WARN	missing_definition	Coelocanthiformes [TTO:10000011]	IAO:0000115		
WARN	missing_definition	Claroteidae [TTO:10000012]	IAO:0000115		
WARN	missing_definition	Auchenoglanididae [TTO:10000013]	IAO:0000115		
WARN	missing_definition	Australoglanididae [TTO:10000014]	IAO:0000115		
WARN	missing_definition	Horabagridae [TTO:10000015]	IAO:0000115		
WARN	missing_definition	Conorhynchidae [TTO:10000016]	IAO:0000115		
WARN	missing_definition	Hypsidoridae [TTO:10000017]	IAO:0000115		
WARN	missing_definition	Hypsidoris [TTO:10000018]	IAO:0000115		
WARN	missing_definition	Danio erythromicron [TTO:10000019]	IAO:0000115		
WARN	missing_definition	Hypsidoris farsonensis [TTO:10000020]	IAO:0000115		
WARN	missing_definition	Hypsidoris oregonensis [TTO:10000021]	IAO:0000115		
WARN	missing_definition	Charitosomous [TTO:10000022]	IAO:0000115		
WARN	missing_definition	Charitosomous lineolatus [TTO:10000023]	IAO:0000115		
WARN	missing_definition	Notogoneus [TTO:10000024]	IAO:0000115		
WARN	missing_definition	Notogoneus osculus [TTO:10000025]	IAO:0000115		
WARN	missing_definition	Barbus versluysii [TTO:10000026]	IAO:0000115		
WARN	missing_definition	Abramites sp. (Fink and Fink 1981) [TTO:10000027]	IAO:0000115		
WARN	missing_definition	Albula sp. (Fink and Fink 1981) [TTO:10000028]	IAO:0000115		
WARN	missing_definition	Apareiodon sp. (Fink and Fink 1981) [TTO:10000029]	IAO:0000115		
WARN	missing_definition	Astroblepus sp. (Fink and Fink 1981) [TTO:10000030]	IAO:0000115		
WARN	missing_definition	Brycon sp. (Fink and Fink 1981) [TTO:10000031]	IAO:0000115		
WARN	missing_definition	Carpiodes sp. (Fink and Fink 1981) [TTO:10000032]	IAO:0000115		
WARN	missing_definition	Catostomus sp. (Fink and Fink 1981) [TTO:10000033]	IAO:0000115		
WARN	missing_definition	Characidium sp. (Fink and Fink 1981) [TTO:10000034]	IAO:0000115		
WARN	missing_definition	Coregonus sp. (Fink and Fink 1981) [TTO:10000035]	IAO:0000115		
WARN	missing_definition	Creagrutus sp. (Fink and Fink 1981) [TTO:10000036]	IAO:0000115		
WARN	missing_definition	Ctenolucius sp. (Fink and Fink 1981) [TTO:10000037]	IAO:0000115		
WARN	missing_definition	Distichodus sp. (Fink and Fink 1981) [TTO:10000038]	IAO:0000115		
WARN	missing_definition	Esox sp. (Fink and Fink 1981) [TTO:10000039]	IAO:0000115		
WARN	missing_definition	Gyrinocheilus sp. (Fink and Fink 1981) [TTO:10000040]	IAO:0000115		
WARN	missing_definition	Hemiodus sp. (Fink and Fink 1981) [TTO:10000041]	IAO:0000115		
WARN	missing_definition	Homaloptera sp. (Fink and Fink 1981) [TTO:10000042]	IAO:0000115		
WARN	missing_definition	Ichthyborus sp. (Fink and Fink 1981) [TTO:10000043]	IAO:0000115		
WARN	missing_definition	Ictalurus sp. (Fink and Fink 1981) [TTO:10000044]	IAO:0000115		
WARN	missing_definition	Megalops sp. (Fink and Fink 1981) [TTO:10000045]	IAO:0000115		
WARN	missing_definition	Mesoborus sp. (Fink and Fink 1981) [TTO:10000046]	IAO:0000115		
WARN	missing_definition	Poecilocharax sp. (Fink and Fink 1981) [TTO:10000047]	IAO:0000115		
WARN	missing_definition	Salmo sp. (Fink and Fink 1981) [TTO:10000048]	IAO:0000115		
WARN	missing_definition	Vandellia sp. (Fink and Fink 1981) [TTO:10000049]	IAO:0000115		
WARN	missing_definition	Himantolophus sagamius [TTO:1000005]	IAO:0000115		
WARN	missing_definition	Bunocephalus sp. (Fink and Fink 1981) [TTO:10000050]	IAO:0000115		
WARN	missing_definition	Clarias sp. (Fink and Fink 1981) [TTO:10000051]	IAO:0000115		
WARN	missing_definition	Gymnocorymbus sp. (Fink and Fink 1981) [TTO:10000052]	IAO:0000115		
WARN	missing_definition	Ancistrus sp. (Britz and Hoffman 2006) [TTO:10000053]	IAO:0000115		
WARN	missing_definition	Clarias sp. (Britz and Hoffman 2006) [TTO:10000054]	IAO:0000115		
WARN	missing_definition	Puntius sp. (Britz and Hoffman 2006) [TTO:10000055]	IAO:0000115		
WARN	missing_definition	Devario cf. aequipinnatus (Britz and Hoffman 2006) [TTO:10000056]	IAO:0000115		
WARN	missing_definition	Leporinus gomesi [TTO:10000057]	IAO:0000115		
WARN	missing_definition	Danio aff. dangila (Fang 2003) [TTO:10000058]	IAO:0000115		
WARN	missing_definition	Chela sp. (Fang 2003) [TTO:10000059]	IAO:0000115		
WARN	missing_definition	Esomus sp. (Fang 2003) [TTO:10000060]	IAO:0000115		
WARN	missing_definition	Botiidae [TTO:10000061]	IAO:0000115		
WARN	missing_definition	Bibarba [TTO:10000062]	IAO:0000115		
WARN	missing_definition	Microrasbora micropthalma [TTO:10000063]	IAO:0000115		
WARN	missing_definition	Araiocypris [TTO:10000064]	IAO:0000115		
WARN	missing_definition	Araiocypris batodes [TTO:10000065]	IAO:0000115		
WARN	missing_definition	Bibarba bibarba [TTO:10000066]	IAO:0000115		
WARN	missing_definition	Laemolyta sp. (Sidlauskas and Vari 2008) [TTO:10000067]	IAO:0000115		
WARN	missing_definition	Leporinus cf. ecuadorensis (Sidlauskas and Vari 2008) [TTO:10000068]	IAO:0000115		
WARN	missing_definition	Leporinus cf. fasciatus (Sidlauskas and Vari 2008) [TTO:10000069]	IAO:0000115		
WARN	missing_definition	Leporinus cf. friderici (Sidlauskas and Vari 2008) [TTO:10000070]	IAO:0000115		
WARN	missing_definition	Leporinus cf. moralesi (Sidlauskas and Vari 2008) [TTO:10000071]	IAO:0000115		
WARN	missing_definition	Leporinus cf. niceforoi (Sidlauskas and Vari 2008) [TTO:10000072]	IAO:0000115		
