Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	upheno.owl	dc11:description		
ERROR	missing_ontology_license	upheno.owl	dc:license		
ERROR	missing_ontology_title	upheno.owl	dc11:title		
WARN	missing_definition	accelerated feather growth [UPHENO:0000501]	IAO:0000115		
WARN	missing_definition	curved upper beak [UPHENO:0000502]	IAO:0000115		
WARN	missing_definition	short upper beak [UPHENO:0000503]	IAO:0000115		
WARN	missing_definition	absent feather barbule [UPHENO:0000504]	IAO:0000115		
WARN	missing_definition	decreased wing length [UPHENO:0000505]	IAO:0000115		
WARN	missing_definition	increased filoplume feather length [UPHENO:0000506]	IAO:0000115		
WARN	missing_definition	phenotype [UPHENO:0001001]	IAO:0000115		
INFO	missing_superclass	PATO_0000001 [PATO:0000001]	rdfs:subClassOf		
INFO	missing_superclass	accelerated feather growth [UPHENO:0000501]	rdfs:subClassOf		
INFO	missing_superclass	curved upper beak [UPHENO:0000502]	rdfs:subClassOf		
INFO	missing_superclass	short upper beak [UPHENO:0000503]	rdfs:subClassOf		
INFO	missing_superclass	absent feather barbule [UPHENO:0000504]	rdfs:subClassOf		
INFO	missing_superclass	decreased wing length [UPHENO:0000505]	rdfs:subClassOf		
INFO	missing_superclass	increased filoplume feather length [UPHENO:0000506]	rdfs:subClassOf		
