Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	has bacterial vaccine vector [VO:0000138]	IAO_0000115 [IAO:0000115]	YH	
ERROR	duplicate_definition	Measles-Rubella vaccine [VO:0000945]	IAO_0000115 [IAO:0000115]	YH	
ERROR	duplicate_definition	live attenuated Brucella melitensis vaccine [VO:0001135]	IAO_0000115 [IAO:0000115]	live attenuated Brucella vaccine is a live attenuated vaccine that protects against a Brucella melitensis infection.	
ERROR	duplicate_definition	live attenuated Brucella suis vaccine [VO:0001136]	IAO_0000115 [IAO:0000115]	live attenuated Brucella vaccine is a live attenuated vaccine that protects against a Brucella melitensis infection.	
ERROR	duplicate_definition	Hib-Imune [VO:0003119]	IAO_0000115 [IAO:0000115]	Kallan Roan, Oliver He	
ERROR	duplicate_definition	Fluzone Intradermal Trivalent [VO:0003440]	IAO_0000115 [IAO:0000115]	Kallan Roan, Oliver He	
ERROR	duplicate_definition	live attenuated Newcastle disease virus vaccine [VO:0001018]	IAO_0000115 [IAO:0000115]	A viral vaccine that protects aganist Newcastle disease virus infection.	
ERROR	duplicate_definition	Newcastle disease virus vaccine [VO:0001222]	IAO_0000115 [IAO:0000115]	A viral vaccine that protects aganist Newcastle disease virus infection.	
ERROR	duplicate_definition	Lymphocytic choriomeningitis virus vaccine [VO:0003044]	IAO_0000115 [IAO:0000115]	A viral vaccine against infection of a Lymphocytic choriomeningitis virus.	
ERROR	duplicate_definition	Infectious pancreatic necrosis virus vaccine [VO:0003055]	IAO_0000115 [IAO:0000115]	A viral vaccine against infection of a Lymphocytic choriomeningitis virus.	
ERROR	duplicate_definition	Diphtheria-Tetanus-Pertussis-Poliovirus-Haemophilus b vaccine [VO:0000744]	IAO_0000115 [IAO:0000115]	A vaccine that protects against, Diphtheria, Tetanus, Pertussis (whooping cough), Polio, and Haemophilus influenzae type b.	
ERROR	duplicate_definition	Diphtheria-Tetanus-Pertussis-Poliovirus-ACT-Hib vaccine [VO:0003177]	IAO_0000115 [IAO:0000115]	A vaccine that protects against, Diphtheria, Tetanus, Pertussis (whooping cough), Polio, and Haemophilus influenzae type b.	
ERROR	duplicate_definition	live attenuated Marek\'s disease virus vaccine [VO:0001017]	IAO_0000115 [IAO:0000115]	A vaccine that protects against Marek's; disease virus.	
ERROR	duplicate_definition	Marek\'s disease virus vaccine [VO:0012162]	IAO_0000115 [IAO:0000115]	A vaccine that protects against Marek's; disease virus.	
