Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	vsao.owl	dc11:description		
ERROR	missing_ontology_license	vsao.owl	dc:license		
ERROR	missing_ontology_title	vsao.owl	dc11:title		
WARN	missing_definition	mineralized tissue [VSAO:0000013]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	oropharynx [VSAO:0000034]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	scale [VSAO:0000048]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	paired appendage [VSAO:0000067]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	appendage [VSAO:0000075]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	non-mineralized chondroid tissue [VSAO:0000077]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	craniofacial region [VSAO:0000083]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cosmine [VSAO:0000087]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	osteodentine [VSAO:0000102]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	free limb [VSAO:0000121]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pectoral appendage [VSAO:0000125]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pelvic appendage [VSAO:0000126]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	forelimb [VSAO:0000148]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pharyngeal arch [VSAO:0000149]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hindlimb [VSAO:0000150]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	forelimb skeleton [VSAO:0000151]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hindlimb skeleton [VSAO:0000152]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	scapula [VSAO:0000157]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	coracoid [VSAO:0000158]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	fin bud [VSAO:0000179]	IAO_0000115 [IAO:0000115]		
WARN	missing_obsolete_label	mode of ossification [VSAO:0000002]	label [rdfs:label]	mode of ossification	
WARN	missing_obsolete_label	opercle bone [VSAO:0000004]	label [rdfs:label]	opercle bone	
WARN	missing_obsolete_label	basihyal element [VSAO:0000005]	label [rdfs:label]	basihyal element	
WARN	missing_obsolete_label	basihyal bone [VSAO:0000007]	label [rdfs:label]	basihyal bone	
WARN	missing_obsolete_label	neural crest cell [VSAO:0000008]	label [rdfs:label]	neural crest cell	
WARN	missing_obsolete_label	notochordal cell [VSAO:0000009]	label [rdfs:label]	notochordal cell	
