Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	muscle indole amount [VT:1000431]	IAO_0000115 [IAO:0000115]	The proportion, quantity, or volume of this tryptophan degradation product detected in the tissue composed of contractile cells or fibers that effects movement.	
ERROR	duplicate_definition	muscle skatole amount [VT:1000434]	IAO_0000115 [IAO:0000115]	The proportion, quantity, or volume of this tryptophan degradation product detected in the tissue composed of contractile cells or fibers that effects movement.	
ERROR	duplicate_definition	milk calcium amount [VT:0010290]	IAO_0000115 [IAO:0000115]	The proportion, quantity, or volume in milk of this metallic element.	
ERROR	duplicate_definition	milk potassium amount [VT:0010291]	IAO_0000115 [IAO:0000115]	The proportion, quantity, or volume in milk of this metallic element.	
ERROR	duplicate_definition	milk sodium amount [VT:0010292]	IAO_0000115 [IAO:0000115]	The proportion, quantity, or volume in milk of this metallic element.	
ERROR	duplicate_definition	milk magnesium amount [VT:0010295]	IAO_0000115 [IAO:0000115]	The proportion, quantity, or volume in milk of this metallic element.	
ERROR	duplicate_definition	milk CD36 molecule amount [VT:0010393]	IAO_0000115 [IAO:0000115]	The proportion, quantity, or volume in milk of this integral membrane protein.	
ERROR	duplicate_definition	milk stomatin amount [VT:0010396]	IAO_0000115 [IAO:0000115]	The proportion, quantity, or volume in milk of this integral membrane protein.	
ERROR	duplicate_definition	milk butyrophilin amount [VT:0010389]	IAO_0000115 [IAO:0000115]	The proportion, quantity, or volume in milk of one of the three predominant proteins in the milk fat globule membrane.	
ERROR	duplicate_definition	milk xanthine oxidoreductase amount [VT:0010390]	IAO_0000115 [IAO:0000115]	The proportion, quantity, or volume in milk of one of the three predominant proteins in the milk fat globule membrane.	
ERROR	duplicate_definition	milk adipophilin amount [VT:0010391]	IAO_0000115 [IAO:0000115]	The proportion, quantity, or volume in milk of one of the three predominant proteins in the milk fat globule membrane.	
ERROR	duplicate_definition	motor neuron quantity [VT:0000939]	IAO_0000115 [IAO:0000115]	The proportion or number of cells that innervate an effector (muscle or glandular) tissue.	
ERROR	duplicate_definition	sensory neuron quantity [VT:0006006]	IAO_0000115 [IAO:0000115]	The proportion or number of cells that innervate an effector (muscle or glandular) tissue.	
ERROR	duplicate_definition	cerebellum vermis size trait [VT:0000865]	IAO_0000115 [IAO:0000115]	Any measurable or observable characteristic related to the physical magnitude of the narrow middle zone between the two hemispheres of the cerebellum.	
