Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	vm2 [WBbt:0004848]	IAO_0000115 [IAO:0000115]	Vulval muscle 2	
ERROR	duplicate_definition	vm2 [WBbt:0004851]	IAO_0000115 [IAO:0000115]	Vulval muscle 2	
ERROR	duplicate_definition	vm2 [WBbt:0004852]	IAO_0000115 [IAO:0000115]	Vulval muscle 2	
ERROR	duplicate_definition	vm2 [WBbt:0004855]	IAO_0000115 [IAO:0000115]	Vulval muscle 2	
ERROR	duplicate_definition	vm1 [WBbt:0004849]	IAO_0000115 [IAO:0000115]	Vulval muscle 1	
ERROR	duplicate_definition	vm1 [WBbt:0004850]	IAO_0000115 [IAO:0000115]	Vulval muscle 1	
ERROR	duplicate_definition	vm1 [WBbt:0004853]	IAO_0000115 [IAO:0000115]	Vulval muscle 1	
ERROR	duplicate_definition	vm1 [WBbt:0004854]	IAO_0000115 [IAO:0000115]	Vulval muscle 1	
ERROR	duplicate_definition	ventral spicule retractor muscle right [WBbt:0004908]	IAO_0000115 [IAO:0000115]	Ventral spicule retractor, male	
ERROR	duplicate_definition	ventral spicule retractor muscle left [WBbt:0004911]	IAO_0000115 [IAO:0000115]	Ventral spicule retractor, male	
ERROR	duplicate_definition	ventral spicule protrctor muscle right [WBbt:0004909]	IAO_0000115 [IAO:0000115]	Ventral spicule protractor, male	
ERROR	duplicate_definition	ventral spicule protractor muscle left [WBbt:0004912]	IAO_0000115 [IAO:0000115]	Ventral spicule protractor, male	
ERROR	duplicate_definition	DD6 [WBbt:0004824]	IAO_0000115 [IAO:0000115]	Ventral cord motor neurons, reciprocal inhibitors, chnage synaptic pattern during postembryonic development	
ERROR	duplicate_definition	DD5 [WBbt:0004825]	IAO_0000115 [IAO:0000115]	Ventral cord motor neurons, reciprocal inhibitors, chnage synaptic pattern during postembryonic development	
ERROR	duplicate_definition	DD4 [WBbt:0004826]	IAO_0000115 [IAO:0000115]	Ventral cord motor neurons, reciprocal inhibitors, chnage synaptic pattern during postembryonic development	
ERROR	duplicate_definition	DD3 [WBbt:0004837]	IAO_0000115 [IAO:0000115]	Ventral cord motor neurons, reciprocal inhibitors, chnage synaptic pattern during postembryonic development	
ERROR	duplicate_definition	DD2 [WBbt:0004838]	IAO_0000115 [IAO:0000115]	Ventral cord motor neurons, reciprocal inhibitors, chnage synaptic pattern during postembryonic development	
ERROR	duplicate_definition	DD1 [WBbt:0004839]	IAO_0000115 [IAO:0000115]	Ventral cord motor neurons, reciprocal inhibitors, chnage synaptic pattern during postembryonic development	
ERROR	duplicate_definition	DB7 [WBbt:0004840]	IAO_0000115 [IAO:0000115]	Ventral cord motor neurons, innervate dorsal muscles	
ERROR	duplicate_definition	DB6 [WBbt:0004841]	IAO_0000115 [IAO:0000115]	Ventral cord motor neurons, innervate dorsal muscles	
ERROR	duplicate_definition	DB5 [WBbt:0004842]	IAO_0000115 [IAO:0000115]	Ventral cord motor neurons, innervate dorsal muscles	
ERROR	duplicate_definition	DB4 [WBbt:0004843]	IAO_0000115 [IAO:0000115]	Ventral cord motor neurons, innervate dorsal muscles	
ERROR	duplicate_definition	DB3 [WBbt:0004844]	IAO_0000115 [IAO:0000115]	Ventral cord motor neurons, innervate dorsal muscles	
ERROR	duplicate_definition	DB2 [WBbt:0004845]	IAO_0000115 [IAO:0000115]	Ventral cord motor neurons, innervate dorsal muscles	
