Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	endosome fusion defective [WBPhenotype:0001638]	IAO_0000115 [IAO:0000115]	Animals are deficient in the formation or disassembly of lysosomes.	
ERROR	duplicate_definition	lysosome homeostasis deficient [WBPhenotype:0001784]	IAO_0000115 [IAO:0000115]	Animals are deficient in the formation or disassembly of lysosomes.	
ERROR	duplicate_definition	neuron physiology variant [WBPhenotype:0000991]	IAO_0000115 [IAO:0000115]	Activity of the neuron varies from that observed for control animals or neurons. In C. elegans neuron activity is often assayed by observing calcium spikes.	
ERROR	duplicate_definition	neuron activation variant [WBPhenotype:0001818]	IAO_0000115 [IAO:0000115]	Activity of the neuron varies from that observed for control animals or neurons. In C. elegans neuron activity is often assayed by observing calcium spikes.	
ERROR	multiple_equivalent_classes	ectopic axon outgrowth [WBPhenotype:0002490]	owl:equivalentClass	blank node <599bbf2aa447a42a2169f23986a8e90a>	
ERROR	multiple_equivalent_classes	ectopic axon outgrowth [WBPhenotype:0002490]	owl:equivalentClass	blank node <f8bdf99d9253d67f65cdc1fe0e70d2a9>	
ERROR	multiple_equivalent_classes	ectopic cell [WBPhenotype:0002493]	owl:equivalentClass	blank node <70376eaaaab6d536f2f7904fe3b0e94a>	
ERROR	multiple_equivalent_classes	ectopic cell [WBPhenotype:0002493]	owl:equivalentClass	blank node <f1ae855583a7a692b444e10c3d503f96>	
ERROR	multiple_equivalent_classes	ectopic neuron [WBPhenotype:0002496]	owl:equivalentClass	blank node <4bf6e06a72d93dfc5ee7ad008d5921d4>	
ERROR	multiple_equivalent_classes	ectopic neuron [WBPhenotype:0002496]	owl:equivalentClass	blank node <c2ec0d447badd0ce53409bb40b692da8>	
ERROR	multiple_equivalent_classes	ectopic organ [WBPhenotype:0002498]	owl:equivalentClass	blank node <2614b839ce0f465204714cbec6df08f8>	
ERROR	multiple_equivalent_classes	ectopic organ [WBPhenotype:0002498]	owl:equivalentClass	blank node <a600fdd926859c17f17513885b5deeda>	
ERROR	multiple_equivalent_classes	ectopic vulva [WBPhenotype:0002499]	owl:equivalentClass	blank node <504eb77aeafe7650ab5ee7f28e1c94f2>	
ERROR	multiple_equivalent_classes	ectopic vulva [WBPhenotype:0002499]	owl:equivalentClass	blank node <90e1fafe0c3a70db148380fdc486c1b8>	
ERROR	missing_ontology_description	wbphenotype.owl	dc11:description		
ERROR	missing_ontology_license	wbphenotype.owl	dc:license		
ERROR	missing_ontology_title	wbphenotype.owl	dc11:title		
INFO	lowercase_definition	3 prime target RNA uridylation reduced [WBPhenotype:0002254]	IAO_0000115 [IAO:0000115]	3' uridylation of mRNA targeted for silencing does not occur at the same rate or extent of targeted mRNA in control animals.	
INFO	lowercase_definition	cell position defective [WBPhenotype:0002402]	IAO_0000115 [IAO:0000115]	a cell (or group of cells) is not found in the correct body position compared the placement in control animals.	
INFO	missing_superclass	CARO_0010004 [CARO:0010004]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_15347 [CHEBI:15347]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_15422 [CHEBI:15422]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_15837 [CHEBI:15837]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_15854 [CHEBI:15854]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_15858 [CHEBI:15858]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_16136 [CHEBI:16136]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_16236 [CHEBI:16236]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_16382 [CHEBI:16382]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_16583 [CHEBI:16583]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_16865 [CHEBI:16865]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_17051 [CHEBI:17051]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_17489 [CHEBI:17489]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_17996 [CHEBI:17996]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_18059 [CHEBI:18059]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_18243 [CHEBI:18243]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_18248 [CHEBI:18248]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_18291 [CHEBI:18291]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_18723 [CHEBI:18723]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_22633 [CHEBI:22633]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_22698 [CHEBI:22698]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_22951 [CHEBI:22951]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_22977 [CHEBI:22977]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_23359 [CHEBI:23359]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_23888 [CHEBI:23888]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_23994 [CHEBI:23994]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_24431 [CHEBI:24431]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_25016 [CHEBI:25016]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_25094 [CHEBI:25094]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_25107 [CHEBI:25107]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_25195 [CHEBI:25195]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_25255 [CHEBI:25255]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_25435 [CHEBI:25435]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_2555 [CHEBI:2555]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_25579 [CHEBI:25579]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_25805 [CHEBI:25805]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_25944 [CHEBI:25944]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_26216 [CHEBI:26216]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_26708 [CHEBI:26708]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_26710 [CHEBI:26710]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_27363 [CHEBI:27363]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_27563 [CHEBI:27563]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_27638 [CHEBI:27638]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_27682 [CHEBI:27682]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_27732 [CHEBI:27732]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_27780 [CHEBI:27780]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_28112 [CHEBI:28112]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_2814 [CHEBI:2814]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_28260 [CHEBI:28260]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_28694 [CHEBI:28694]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_28790 [CHEBI:28790]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_29222 [CHEBI:29222]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_29699 [CHEBI:29699]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_30052 [CHEBI:30052]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_30145 [CHEBI:30145]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_30185 [CHEBI:30185]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_30297 [CHEBI:30297]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_30512 [CHEBI:30512]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_30513 [CHEBI:30513]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_30953 [CHEBI:30953]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_31206 [CHEBI:31206]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_32954 [CHEBI:32954]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_33083 [CHEBI:33083]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_33216 [CHEBI:33216]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_33290 [CHEBI:33290]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_33521 [CHEBI:33521]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_33699 [CHEBI:33699]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_34905 [CHEBI:34905]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_35623 [CHEBI:35623]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_35702 [CHEBI:35702]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_3638 [CHEBI:3638]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_37415 [CHEBI:37415]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_37532 [CHEBI:37532]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_37868 [CHEBI:37868]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_37887 [CHEBI:37887]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_38324 [CHEBI:38324]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_38462 [CHEBI:38462]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_38808 [CHEBI:38808]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_38867 [CHEBI:38867]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_39214 [CHEBI:39214]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_4046 [CHEBI:4046]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_4290 [CHEBI:4290]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_44423 [CHEBI:44423]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_46345 [CHEBI:46345]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_472805 [CHEBI:472805]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_47499 [CHEBI:47499]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_4781 [CHEBI:4781]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_4792 [CHEBI:4792]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_4887 [CHEBI:4887]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_50826 [CHEBI:50826]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_50949 [CHEBI:50949]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_51137 [CHEBI:51137]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_5118 [CHEBI:5118]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_5615 [CHEBI:5615]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_6015 [CHEBI:6015]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_6078 [CHEBI:6078]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_63510 [CHEBI:63510]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_64203 [CHEBI:64203]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_6432 [CHEBI:6432]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_6835 [CHEBI:6835]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_7035 [CHEBI:7035]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_8081 [CHEBI:8081]	rdfs:subClassOf		
INFO	missing_superclass	CHEBI_9727 [CHEBI:9727]	rdfs:subClassOf		
INFO	missing_superclass	CL_0000000 [CL:0000000]	rdfs:subClassOf		
INFO	missing_superclass	CL_0000007 [CL:0000007]	rdfs:subClassOf		
INFO	missing_superclass	CL_0000300 [CL:0000300]	rdfs:subClassOf		
INFO	missing_superclass	CL_0000365 [CL:0000365]	rdfs:subClassOf		
INFO	missing_superclass	CL_0000540 [CL:0000540]	rdfs:subClassOf		
INFO	missing_superclass	CL_0000586 [CL:0000586]	rdfs:subClassOf		
INFO	missing_superclass	GO_0000070 [GO:0000070]	rdfs:subClassOf		
INFO	missing_superclass	GO_0000077 [GO:0000077]	rdfs:subClassOf		
INFO	missing_superclass	GO_0000184 [GO:0000184]	rdfs:subClassOf		
INFO	missing_superclass	GO_0000226 [GO:0000226]	rdfs:subClassOf		
INFO	missing_superclass	GO_0000280 [GO:0000280]	rdfs:subClassOf		
INFO	missing_superclass	GO_0000398 [GO:0000398]	rdfs:subClassOf		
INFO	missing_superclass	GO_0000768 [GO:0000768]	rdfs:subClassOf		
INFO	missing_superclass	GO_0000781 [GO:0000781]	rdfs:subClassOf		
INFO	missing_superclass	GO_0000910 [GO:0000910]	rdfs:subClassOf		
INFO	missing_superclass	GO_0000932 [GO:0000932]	rdfs:subClassOf		
INFO	missing_superclass	GO_0001666 [GO:0001666]	rdfs:subClassOf		
INFO	missing_superclass	GO_0001708 [GO:0001708]	rdfs:subClassOf		
INFO	missing_superclass	GO_0001764 [GO:0001764]	rdfs:subClassOf		
INFO	missing_superclass	GO_0001939 [GO:0001939]	rdfs:subClassOf		
INFO	missing_superclass	GO_0002064 [GO:0002064]	rdfs:subClassOf		
INFO	missing_superclass	GO_0002164 [GO:0002164]	rdfs:subClassOf		
INFO	missing_superclass	GO_0003824 [GO:0003824]	rdfs:subClassOf		
INFO	missing_superclass	GO_0005575 [GO:0005575]	rdfs:subClassOf		
INFO	missing_superclass	GO_0005604 [GO:0005604]	rdfs:subClassOf		
INFO	missing_superclass	GO_0005623 [GO:0005623]	rdfs:subClassOf		
INFO	missing_superclass	GO_0005634 [GO:0005634]	rdfs:subClassOf		
INFO	missing_superclass	GO_0005643 [GO:0005643]	rdfs:subClassOf		
INFO	missing_superclass	GO_0005694 [GO:0005694]	rdfs:subClassOf		
INFO	missing_superclass	GO_0005712 [GO:0005712]	rdfs:subClassOf		
INFO	missing_superclass	GO_0005730 [GO:0005730]	rdfs:subClassOf		
INFO	missing_superclass	GO_0005737 [GO:0005737]	rdfs:subClassOf		
INFO	missing_superclass	GO_0005739 [GO:0005739]	rdfs:subClassOf		
INFO	missing_superclass	GO_0005764 [GO:0005764]	rdfs:subClassOf		
