Level	Rule Name	Subject	Property	Value
WARN	annotation_whitespace	conditions [ZECO:0000100]	IAO_0000115 [IAO:0000115]	The state in which an organism exists. 	
WARN	missing_definition	stress [ZECO:0000131]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	light duration [ZECO:0000147]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	altered light dark cycle [ZECO:0000148]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	constant dark [ZECO:0000149]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	constant light [ZECO:0000150]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	light intensity [ZECO:0000151]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	high light intensity [ZECO:0000152]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	low light intensity [ZECO:0000153]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	vibration [ZECO:0000156]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	water flow [ZECO:0000157]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	circular flow [ZECO:0000158]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	through flow [ZECO:0000159]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	gas composition [ZECO:0000183]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hypercapnia [ZECO:0000185]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hypocapnia [ZECO:0000186]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ion composition [ZECO:0000190]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	modified calcium composition [ZECO:0000191]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	high calcium [ZECO:0000192]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	low calcium [ZECO:0000193]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	modified potassium composition [ZECO:0000194]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	high potassium [ZECO:0000195]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	low potassium [ZECO:0000196]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	modified sodium composition [ZECO:0000197]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	high sodium [ZECO:0000198]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	low sodium [ZECO:0000199]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pH [ZECO:0000200]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	water salinity [ZECO:0000203]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	isotonic [ZECO:0000206]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	stable [ZECO:0000207]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	radiation [ZECO:0000208]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	electromagnetic radiation [ZECO:0000209]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	radio waves [ZECO:0000210]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	microwaves [ZECO:0000211]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	infared [ZECO:0000212]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	x-ray [ZECO:0000215]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	gamma ray [ZECO:0000216]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	particle radiation [ZECO:0000217]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	proton [ZECO:0000218]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	neutron [ZECO:0000219]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	acoustic radiation [ZECO:0000220]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	alpha particle [ZECO:0000221]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	stress by handling [ZECO:0000243]	IAO_0000115 [IAO:0000115]		
INFO	missing_superclass	conditions [ZECO:0000100]	rdfs:subClassOf		
