Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	cell EVL morphology, abnormal [ZP:0008256]	IAO_0000115 [IAO:0000115]	Abnormal(ly) morphology (of) EVL of cell.	
ERROR	duplicate_definition	cell EVL morphology, abnormal [ZP:0011825]	IAO_0000115 [IAO:0000115]	Abnormal(ly) morphology (of) EVL of cell.	
ERROR	duplicate_definition	cell parapineal organ mislocalised, abnormal [ZP:0010624]	IAO_0000115 [IAO:0000115]	Abnormal(ly) mislocalised (of) parapineal organ of cell.	
ERROR	duplicate_definition	cell parapineal organ mislocalised, abnormal [ZP:0012563]	IAO_0000115 [IAO:0000115]	Abnormal(ly) mislocalised (of) parapineal organ of cell.	
ERROR	duplicate_definition	cell lens disorganized, abnormal [ZP:0006256]	IAO_0000115 [IAO:0000115]	Abnormal(ly) disorganized (of) lens of cell.	
ERROR	duplicate_definition	cell lens disorganized, abnormal [ZP:0103459]	IAO_0000115 [IAO:0000115]	Abnormal(ly) disorganized (of) lens of cell.	
ERROR	duplicate_definition	cell retinal inner nuclear layer decreased amount, abnormal [ZP:0005992]	IAO_0000115 [IAO:0000115]	Abnormal(ly) decreased amount (of) retinal inner nuclear layer of cell.	
ERROR	duplicate_definition	cell retinal inner nuclear layer decreased amount, abnormal [ZP:0006134]	IAO_0000115 [IAO:0000115]	Abnormal(ly) decreased amount (of) retinal inner nuclear layer of cell.	
ERROR	duplicate_definition	cell retina decreased amount, abnormal [ZP:0002061]	IAO_0000115 [IAO:0000115]	Abnormal(ly) decreased amount (of) retina of cell.	
ERROR	duplicate_definition	cell retina decreased amount, abnormal [ZP:0006721]	IAO_0000115 [IAO:0000115]	Abnormal(ly) decreased amount (of) retina of cell.	
ERROR	duplicate_definition	cell head apoptotic, abnormal [ZP:0007542]	IAO_0000115 [IAO:0000115]	Abnormal(ly) apoptotic (of) head of cell.	
ERROR	duplicate_definition	cell head apoptotic, abnormal [ZP:0011625]	IAO_0000115 [IAO:0000115]	Abnormal(ly) apoptotic (of) head of cell.	
ERROR	multiple_equivalent_classes	trunk normal neural crest cell development, abnormal [ZP:0013012]	owl:equivalentClass	blank node <6b6b0bea7708e5bda48c13382773fe67>	
ERROR	multiple_equivalent_classes	trunk normal neural crest cell development, abnormal [ZP:0013012]	owl:equivalentClass	blank node <f95b09faeb825b1ca538087915df4dab>	
ERROR	multiple_equivalent_classes	muscle pioneer normal amount, abnormal [ZP:0100001]	owl:equivalentClass	blank node <128b41bb7e6008648014755c938dfea3>	
ERROR	multiple_equivalent_classes	muscle pioneer normal amount, abnormal [ZP:0100001]	owl:equivalentClass	blank node <f45a28c74e7c375a8efd4d27a32d2b50>	
ERROR	multiple_equivalent_classes	choroid plexus increased distribution, abnormal [ZP:0100002]	owl:equivalentClass	blank node <03ca5ab70f076d9ab63c14c2efb704c2>	
ERROR	multiple_equivalent_classes	choroid plexus increased distribution, abnormal [ZP:0100002]	owl:equivalentClass	blank node <5672a42e7cbf5c3d637edc607693ecb8>	
ERROR	multiple_equivalent_classes	forerunner cell group amount, abnormal [ZP:0100003]	owl:equivalentClass	blank node <2f82c924f968222457abeefd1e8f307b>	
ERROR	multiple_equivalent_classes	forerunner cell group amount, abnormal [ZP:0100003]	owl:equivalentClass	blank node <58cba6ca0f19cdf9942dab683fe32744>	
ERROR	multiple_equivalent_classes	integument occurrence proton export across plasma membrane, abnormal [ZP:0100004]	owl:equivalentClass	blank node <67b7361c36a89b0d2e9b396e7578bd2f>	
ERROR	multiple_equivalent_classes	integument occurrence proton export across plasma membrane, abnormal [ZP:0100004]	owl:equivalentClass	blank node <d8257944404a9cccd03fe72cc9b54dab>	
ERROR	multiple_equivalent_classes	integument increased occurrence proton export across plasma membrane, abnormal [ZP:0100005]	owl:equivalentClass	blank node <3a5ff05baed3477f7a01c1a1df2ed27a>	
ERROR	multiple_equivalent_classes	integument increased occurrence proton export across plasma membrane, abnormal [ZP:0100005]	owl:equivalentClass	blank node <41921e6bc15fce50aca2e07c9508ef1f>	
ERROR	multiple_equivalent_classes	proton export across plasma membrane occurrence, abnormal [ZP:0100006]	owl:equivalentClass	blank node <52988f73fe623e62227f3360e4dad6a1>	
ERROR	multiple_equivalent_classes	proton export across plasma membrane occurrence, abnormal [ZP:0100006]	owl:equivalentClass	blank node <c736739c8f4a5e3f66c5ee066ed7152d>	
ERROR	multiple_equivalent_classes	axon trigeminal ganglion normal amount, abnormal [ZP:0100007]	owl:equivalentClass	blank node <514c11ebdebab0948e482273ec1c2ff4>	
ERROR	multiple_equivalent_classes	axon trigeminal ganglion normal amount, abnormal [ZP:0100007]	owl:equivalentClass	blank node <69240d319ceeabd4f8a08104f5773fd0>	
ERROR	multiple_equivalent_classes	extracellular matrix notochord morphology, abnormal [ZP:0100008]	owl:equivalentClass	blank node <90be41dbd5793f8ad32c129febcacf87>	
ERROR	multiple_equivalent_classes	extracellular matrix notochord morphology, abnormal [ZP:0100008]	owl:equivalentClass	blank node <bae046de688619e7b74b2b154f3b75cf>	
ERROR	multiple_equivalent_classes	whole organism quality, abnormal [ZP:0100009]	owl:equivalentClass	blank node <7767b742d8718f96bffb729017771635>	
ERROR	multiple_equivalent_classes	whole organism quality, abnormal [ZP:0100009]	owl:equivalentClass	blank node <d9dc86a42a29fd9b8b9bd06e3d13079b>	
ERROR	multiple_equivalent_classes	anatomical system quality, abnormal [ZP:0100010]	owl:equivalentClass	blank node <b218bb22c8f507f9147f42a7b9899c95>	
